 # x =   1.0000E-02
 #        q2        xbot      error+      error-       error
  5.0000E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3536E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0737E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0259E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3037E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6566E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1051E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6750E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3992E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.3194E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.4888E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.9748E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.8630E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1262E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4311E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8186E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3109E+01  1.4550E-03  1.8544E-05  2.3597E-05  2.0740E-05
  2.9365E+01  1.4860E-02  1.8502E-04  2.3719E-04  2.0764E-04
  3.7315E+01  2.6418E-02  3.2055E-04  4.1477E-04  3.6118E-04
  4.7417E+01  3.7895E-02  4.4926E-04  5.8627E-04  5.0815E-04
  6.0254E+01  4.9089E-02  5.6918E-04  7.4884E-04  6.4621E-04
  7.6566E+01  5.9929E-02  6.8062E-04  9.0177E-04  7.7531E-04
  9.7294E+01  7.0423E-02  7.8434E-04  1.0458E-03  8.9615E-04
  1.2363E+02  8.0588E-02  8.8149E-04  1.1827E-03  1.0102E-03
  1.5710E+02  9.0429E-02  9.7339E-04  1.3113E-03  1.1175E-03
  1.9964E+02  9.9959E-02  1.0638E-03  1.4278E-03  1.2183E-03
  2.5368E+02  1.0919E-01  1.1465E-03  1.5420E-03  1.3140E-03
  3.2236E+02  1.1813E-01  1.2156E-03  1.6623E-03  1.4055E-03
  4.0963E+02  1.2680E-01  1.2817E-03  1.7754E-03  1.4921E-03
  5.2053E+02  1.3519E-01  1.3506E-03  1.8723E-03  1.5729E-03
  6.6145E+02  1.4332E-01  1.4140E-03  1.9663E-03  1.6498E-03
  8.4051E+02  1.5121E-01  1.4670E-03  2.0650E-03  1.7242E-03
  1.0681E+03  1.5886E-01  1.5176E-03  2.1590E-03  1.7950E-03
  1.3572E+03  1.6627E-01  1.5672E-03  2.2450E-03  1.8614E-03
  1.7246E+03  1.7346E-01  1.6165E-03  2.3257E-03  1.9249E-03
  2.1915E+03  1.8044E-01  1.6677E-03  2.4028E-03  1.9873E-03
  2.7848E+03  1.8720E-01  1.7193E-03  2.4755E-03  2.0477E-03
  3.5388E+03  1.9378E-01  1.7686E-03  2.5410E-03  2.1039E-03
  4.4968E+03  2.0015E-01  1.8160E-03  2.5976E-03  2.1555E-03
  5.7141E+03  2.0635E-01  1.8599E-03  2.6561E-03  2.2063E-03
  7.2611E+03  2.1236E-01  1.8986E-03  2.7227E-03  2.2582E-03
  9.2268E+03  2.1821E-01  1.9340E-03  2.7905E-03  2.3090E-03
  1.1725E+04  2.2390E-01  1.9675E-03  2.8537E-03  2.3560E-03
  1.4899E+04  2.2943E-01  1.9987E-03  2.9141E-03  2.3999E-03
  1.8932E+04  2.3480E-01  2.0324E-03  2.9681E-03  2.4426E-03
  2.4058E+04  2.4002E-01  2.0712E-03  3.0131E-03  2.4842E-03
  3.0571E+04  2.4510E-01  2.1094E-03  3.0557E-03  2.5243E-03
  3.8847E+04  2.5004E-01  2.1421E-03  3.1015E-03  2.5627E-03
  4.9364E+04  2.5486E-01  2.1710E-03  3.1483E-03  2.5994E-03
  6.2728E+04  2.5954E-01  2.1962E-03  3.1964E-03  2.6352E-03
  7.9710E+04  2.6410E-01  2.2172E-03  3.2468E-03  2.6704E-03
  1.0129E+05  2.6854E-01  2.2391E-03  3.2930E-03  2.7039E-03
  1.2871E+05  2.7287E-01  2.2648E-03  3.3310E-03  2.7351E-03
  1.6355E+05  2.7708E-01  2.2914E-03  3.3651E-03  2.7648E-03
  2.0783E+05  2.8119E-01  2.3160E-03  3.3995E-03  2.7942E-03
  2.6410E+05  2.8519E-01  2.3391E-03  3.4331E-03  2.8229E-03
  3.3559E+05  2.8910E-01  2.3606E-03  3.4688E-03  2.8517E-03
  4.2645E+05  2.9290E-01  2.3800E-03  3.5085E-03  2.8812E-03
  5.4190E+05  2.9662E-01  2.3979E-03  3.5493E-03  2.9098E-03
  6.8860E+05  3.0024E-01  2.4140E-03  3.5877E-03  2.9364E-03
  8.7502E+05  3.0377E-01  2.4289E-03  3.6239E-03  2.9615E-03
  1.1119E+06  3.0722E-01  2.4457E-03  3.6552E-03  2.9852E-03
  1.4129E+06  3.1058E-01  2.4645E-03  3.6811E-03  3.0074E-03
  1.7954E+06  3.1386E-01  2.4834E-03  3.7052E-03  3.0288E-03
  2.2815E+06  3.1706E-01  2.5027E-03  3.7275E-03  3.0495E-03
  2.8992E+06  3.2018E-01  2.5213E-03  3.7501E-03  3.0699E-03
  3.6840E+06  3.2324E-01  2.5351E-03  3.7805E-03  3.0919E-03
  4.6814E+06  3.2622E-01  2.5448E-03  3.8178E-03  3.1154E-03
  5.9487E+06  3.2914E-01  2.5546E-03  3.8494E-03  3.1360E-03
  7.5592E+06  3.3199E-01  2.5648E-03  3.8712E-03  3.1516E-03
  9.6056E+06  3.3477E-01  2.5759E-03  3.8914E-03  3.1670E-03
  1.2206E+07  3.3749E-01  2.5898E-03  3.9162E-03  3.1863E-03
  1.5511E+07  3.4015E-01  2.6049E-03  3.9426E-03  3.2074E-03
  1.9710E+07  3.4275E-01  2.6164E-03  3.9688E-03  3.2265E-03
  2.5046E+07  3.4529E-01  2.6227E-03  3.9962E-03  3.2437E-03
  3.1826E+07  3.4777E-01  2.6318E-03  4.0191E-03  3.2598E-03
  4.0442E+07  3.5020E-01  2.6505E-03  4.0308E-03  3.2746E-03
  5.1390E+07  3.5257E-01  2.6717E-03  4.0389E-03  3.2887E-03
  6.5303E+07  3.5490E-01  2.6851E-03  4.0552E-03  3.3032E-03
  8.2982E+07  3.5717E-01  2.6928E-03  4.0771E-03  3.3180E-03
  1.0545E+08  3.5940E-01  2.7002E-03  4.0977E-03  3.3320E-03
  1.3399E+08  3.6157E-01  2.7069E-03  4.1165E-03  3.3447E-03
  1.7027E+08  3.6370E-01  2.7153E-03  4.1333E-03  3.3572E-03
  2.1637E+08  3.6579E-01  2.7305E-03  4.1450E-03  3.3707E-03
  2.7494E+08  3.6783E-01  2.7495E-03  4.1537E-03  3.3847E-03
  3.4937E+08  3.6983E-01  2.7613E-03  4.1676E-03  3.3975E-03
  4.4396E+08  3.7178E-01  2.7636E-03  4.1883E-03  3.4088E-03
  5.6414E+08  3.7370E-01  2.7666E-03  4.2083E-03  3.4200E-03
  7.1687E+08  3.7558E-01  2.7747E-03  4.2243E-03  3.4318E-03
  9.1094E+08  3.7741E-01  2.7856E-03  4.2379E-03  3.4439E-03
  1.1576E+09  3.7926E-01  2.7969E-03  4.2514E-03  3.4561E-03
  1.4709E+09  3.8113E-01  2.8074E-03  4.2661E-03  3.4685E-03
  1.8692E+09  3.8301E-01  2.8182E-03  4.2809E-03  3.4811E-03
  2.3752E+09  3.8490E-01  2.8292E-03  4.2959E-03  3.4938E-03
  3.0182E+09  3.8680E-01  2.8404E-03  4.3110E-03  3.5067E-03
  3.8353E+09  3.8871E-01  2.8519E-03  4.3262E-03  3.5198E-03
  4.8736E+09  3.9063E-01  2.8636E-03  4.3416E-03  3.5331E-03
  6.1930E+09  3.9256E-01  2.8756E-03  4.3572E-03  3.5465E-03
  7.8695E+09  3.9450E-01  2.8878E-03  4.3729E-03  3.5602E-03
  1.0000E+10  3.9645E-01  2.9003E-03  4.3887E-03  3.5740E-03
