 # q =   1.0000E+01
 #         x        xbot      error+      error-       error
  1.0000E-07  1.5784E+01  1.5870E+01  7.7673E+00  1.1632E+01
  1.1767E-07  1.4611E+01  1.4031E+01  6.9738E+00  1.0339E+01
  1.3846E-07  1.3525E+01  1.2389E+01  6.2534E+00  9.1775E+00
  1.6293E-07  1.2519E+01  1.0924E+01  5.5997E+00  8.1359E+00
  1.9171E-07  1.1588E+01  9.6172E+00  5.0070E+00  7.2020E+00
  2.2559E-07  1.0727E+01  8.4527E+00  4.4698E+00  6.3653E+00
  2.6545E-07  9.9294E+00  7.4156E+00  3.9834E+00  5.6161E+00
  3.1235E-07  9.1912E+00  6.4929E+00  3.5431E+00  4.9457E+00
  3.6754E-07  8.5078E+00  5.6726E+00  3.1450E+00  4.3464E+00
  4.3248E-07  7.8753E+00  4.9440E+00  2.7853E+00  3.8109E+00
  5.0890E-07  7.2898E+00  4.2975E+00  2.4605E+00  3.3330E+00
  5.9882E-07  6.7479E+00  3.7245E+00  2.1676E+00  2.9069E+00
  7.0462E-07  6.2462E+00  3.2171E+00  1.9036E+00  2.5273E+00
  8.2912E-07  5.7818E+00  2.7685E+00  1.6660E+00  2.1896E+00
  9.7562E-07  5.3519E+00  2.3722E+00  1.4523E+00  1.8894E+00
  1.1480E-06  4.9651E+00  2.0450E+00  1.2681E+00  1.6368E+00
  1.3509E-06  4.6011E+00  1.7488E+00  1.0989E+00  1.4058E+00
  1.5895E-06  4.2573E+00  1.4765E+00  9.4252E-01  1.1932E+00
  1.8704E-06  3.9336E+00  1.2281E+00  7.9905E-01  9.9898E-01
  2.2009E-06  3.6288E+00  1.0016E+00  6.6737E-01  8.2154E-01
  2.5898E-06  3.3396E+00  7.9273E-01  5.4493E-01  6.5743E-01
  3.0474E-06  3.0716E+00  6.1036E-01  4.3634E-01  5.1343E-01
  3.5858E-06  2.8312E+00  4.6444E-01  3.4685E-01  3.9701E-01
  4.2194E-06  2.6252E+00  3.6391E-01  2.8201E-01  3.1530E-01
  4.9649E-06  2.4566E+00  3.1005E-01  2.4415E-01  2.7012E-01
  5.8422E-06  2.3049E+00  2.7249E-01  2.1626E-01  2.3798E-01
  6.8744E-06  2.1548E+00  2.3088E-01  1.8602E-01  2.0260E-01
  8.0891E-06  2.0129E+00  1.9390E-01  1.5869E-01  1.7090E-01
  9.5184E-06  1.8788E+00  1.6133E-01  1.3420E-01  1.4275E-01
  1.1200E-05  1.7544E+00  1.3460E-01  1.1351E-01  1.1932E-01
  1.3179E-05  1.6405E+00  1.1392E-01  9.6987E-02  1.0095E-01
  1.5508E-05  1.5353E+00  9.7525E-02  8.3525E-02  8.6236E-02
  1.8248E-05  1.4366E+00  8.3859E-02  7.2008E-02  7.3841E-02
  2.1472E-05  1.3430E+00  7.1826E-02  6.1590E-02  6.2832E-02
  2.5266E-05  1.2562E+00  6.1923E-02  5.3097E-02  5.4032E-02
  2.9731E-05  1.1757E+00  5.3859E-02  4.6296E-02  4.7063E-02
  3.4984E-05  1.1004E+00  4.7051E-02  4.0644E-02  4.1294E-02
  4.1165E-05  1.0295E+00  4.0961E-02  3.6482E-02  3.6216E-02
  4.8439E-05  9.6342E-01  3.5828E-02  3.3072E-02  3.1993E-02
  5.6998E-05  9.0166E-01  3.1500E-02  3.0056E-02  2.8446E-02
  6.7069E-05  8.4296E-01  2.7557E-02  2.7287E-02  2.5223E-02
  7.8919E-05  7.8777E-01  2.4140E-02  2.4781E-02  2.2421E-02
  9.2864E-05  7.3655E-01  2.1348E-02  2.2527E-02  2.0085E-02
  1.0927E-04  6.8828E-01  1.8905E-02  2.0458E-02  1.8016E-02
  1.2858E-04  6.4283E-01  1.6756E-02  1.8568E-02  1.6178E-02
  1.5130E-04  6.0003E-01  1.4874E-02  1.6836E-02  1.4543E-02
  1.7803E-04  5.5962E-01  1.3207E-02  1.5239E-02  1.3073E-02
  2.0949E-04  5.2138E-01  1.1711E-02  1.3759E-02  1.1735E-02
  2.4650E-04  4.8559E-01  1.0426E-02  1.2413E-02  1.0556E-02
  2.9006E-04  4.5216E-01  9.3309E-03  1.1194E-02  9.5219E-03
  3.4131E-04  4.2078E-01  8.3739E-03  1.0086E-02  8.5981E-03
  4.0162E-04  3.9113E-01  7.5085E-03  9.0697E-03  7.7536E-03
  4.7258E-04  3.6329E-01  6.7341E-03  8.1530E-03  6.9909E-03
  5.5608E-04  3.3725E-01  6.0551E-03  7.3282E-03  6.3106E-03
  6.5434E-04  3.1272E-01  5.4528E-03  6.5642E-03  5.6921E-03
  7.6995E-04  2.8973E-01  4.9221E-03  5.8678E-03  5.1352E-03
  9.0600E-04  2.6813E-01  4.4095E-03  5.2703E-03  4.6220E-03
  1.0661E-03  2.4784E-01  3.9364E-03  4.7338E-03  4.1533E-03
  1.2544E-03  2.2886E-01  3.5200E-03  4.2443E-03  3.7323E-03
  1.4761E-03  2.1112E-01  3.1502E-03  3.8000E-03  3.3530E-03
  1.7369E-03  1.9446E-01  2.8164E-03  3.3960E-03  3.0078E-03
  2.0438E-03  1.7874E-01  2.5071E-03  3.0291E-03  2.6895E-03
  2.4049E-03  1.6407E-01  2.2251E-03  2.7035E-03  2.4012E-03
  2.8299E-03  1.5045E-01  1.9733E-03  2.4172E-03  2.1437E-03
  3.3299E-03  1.3776E-01  1.7484E-03  2.1631E-03  1.9130E-03
  3.9183E-03  1.2586E-01  1.5475E-03  1.9347E-03  1.7052E-03
  4.6106E-03  1.1473E-01  1.3717E-03  1.7296E-03  1.5201E-03
  5.4253E-03  1.0441E-01  1.2202E-03  1.5499E-03  1.3582E-03
  6.3839E-03  9.4779E-02  1.0845E-03  1.3932E-03  1.2148E-03
  7.5118E-03  8.5830E-02  9.6460E-04  1.2588E-03  1.0896E-03
  8.8391E-03  7.7510E-02  8.6231E-04  1.1410E-03  9.8122E-04
