 # x =   1.0000E-02
 #        q2        xchm      error+      error-       error
  5.0000E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3536E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0737E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0259E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3037E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6566E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1051E+00  3.5864E-03  1.2887E-04  1.4895E-04  1.3650E-04
  2.6750E+00  1.5628E-02  5.1185E-04  5.9707E-04  5.4470E-04
  3.3992E+00  2.7749E-02  8.2808E-04  9.7435E-04  8.8548E-04
  4.3194E+00  4.0102E-02  1.1056E-03  1.3062E-03  1.1847E-03
  5.4888E+00  5.2500E-02  1.3474E-03  1.5998E-03  1.4475E-03
  6.9748E+00  6.4829E-02  1.5598E-03  1.8612E-03  1.6798E-03
  8.8630E+00  7.7011E-02  1.7497E-03  2.0931E-03  1.8865E-03
  1.1262E+01  8.8993E-02  1.9185E-03  2.3009E-03  2.0710E-03
  1.4311E+01  1.0072E-01  2.0699E-03  2.4901E-03  2.2379E-03
  1.8186E+01  1.1218E-01  2.2039E-03  2.6630E-03  2.3884E-03
  2.3109E+01  1.2337E-01  2.3215E-03  2.8202E-03  2.5233E-03
  2.9365E+01  1.3425E-01  2.4295E-03  2.9651E-03  2.6476E-03
  3.7315E+01  1.4481E-01  2.5249E-03  3.0965E-03  2.7584E-03
  4.7417E+01  1.5507E-01  2.6111E-03  3.2217E-03  2.8621E-03
  6.0254E+01  1.6503E-01  2.6891E-03  3.3382E-03  2.9579E-03
  7.6566E+01  1.7469E-01  2.7656E-03  3.4357E-03  3.0441E-03
  9.7294E+01  1.8405E-01  2.8374E-03  3.5218E-03  3.1227E-03
  1.2363E+02  1.9312E-01  2.8959E-03  3.6138E-03  3.1971E-03
  1.5710E+02  2.0192E-01  2.9490E-03  3.7020E-03  3.2671E-03
  1.9964E+02  2.1044E-01  3.0100E-03  3.7732E-03  3.3337E-03
  2.5368E+02  2.1870E-01  3.0638E-03  3.8404E-03  3.3947E-03
  3.2236E+02  2.2670E-01  3.0985E-03  3.9122E-03  3.4481E-03
  4.0963E+02  2.3446E-01  3.1292E-03  3.9802E-03  3.4978E-03
  5.2053E+02  2.4198E-01  3.1613E-03  4.0420E-03  3.5453E-03
  6.6145E+02  2.4926E-01  3.1960E-03  4.1016E-03  3.5903E-03
  8.4051E+02  2.5632E-01  3.2383E-03  4.1494E-03  3.6322E-03
  1.0681E+03  2.6316E-01  3.2749E-03  4.2010E-03  3.6731E-03
  1.3572E+03  2.6980E-01  3.2993E-03  4.2664E-03  3.7147E-03
  1.7246E+03  2.7624E-01  3.3184E-03  4.3321E-03  3.7540E-03
  2.1915E+03  2.8249E-01  3.3354E-03  4.3889E-03  3.7881E-03
  2.7848E+03  2.8855E-01  3.3502E-03  4.4404E-03  3.8187E-03
  3.5388E+03  2.9443E-01  3.3711E-03  4.4851E-03  3.8489E-03
  4.4968E+03  3.0013E-01  3.3995E-03  4.5218E-03  3.8788E-03
  5.7141E+03  3.0567E-01  3.4235E-03  4.5585E-03  3.9067E-03
  7.2611E+03  3.1105E-01  3.4359E-03  4.5996E-03  3.9315E-03
  9.2268E+03  3.1628E-01  3.4448E-03  4.6403E-03  3.9545E-03
  1.1725E+04  3.2136E-01  3.4582E-03  4.6763E-03  3.9776E-03
  1.4899E+04  3.2629E-01  3.4741E-03  4.7091E-03  4.0002E-03
  1.8932E+04  3.3108E-01  3.4896E-03  4.7403E-03  4.0219E-03
  2.4058E+04  3.3573E-01  3.5049E-03  4.7698E-03  4.0426E-03
  3.0571E+04  3.4026E-01  3.5186E-03  4.7978E-03  4.0619E-03
  3.8847E+04  3.4467E-01  3.5288E-03  4.8241E-03  4.0788E-03
  4.9364E+04  3.4895E-01  3.5364E-03  4.8495E-03  4.0942E-03
  6.2728E+04  3.5312E-01  3.5412E-03  4.8790E-03  4.1102E-03
  7.9710E+04  3.5717E-01  3.5421E-03  4.9136E-03  4.1269E-03
  1.0129E+05  3.6112E-01  3.5461E-03  4.9434E-03  4.1431E-03
  1.2871E+05  3.6496E-01  3.5585E-03  4.9611E-03  4.1577E-03
  1.6355E+05  3.6869E-01  3.5728E-03  4.9756E-03  4.1718E-03
  2.0783E+05  3.7233E-01  3.5797E-03  4.9999E-03  4.1867E-03
  2.6410E+05  3.7588E-01  3.5809E-03  5.0318E-03  4.2023E-03
  3.3559E+05  3.7934E-01  3.5857E-03  5.0559E-03  4.2161E-03
  4.2645E+05  3.8270E-01  3.5983E-03  5.0661E-03  4.2274E-03
  5.4190E+05  3.8598E-01  3.6099E-03  5.0745E-03  4.2375E-03
  6.8860E+05  3.8917E-01  3.6118E-03  5.0906E-03  4.2461E-03
  8.7502E+05  3.9229E-01  3.6091E-03  5.1097E-03  4.2538E-03
  1.1119E+06  3.9533E-01  3.6121E-03  5.1266E-03  4.2635E-03
  1.4129E+06  3.9828E-01  3.6218E-03  5.1407E-03  4.2755E-03
  1.7954E+06  4.0117E-01  3.6280E-03  5.1571E-03  4.2868E-03
  2.2815E+06  4.0399E-01  3.6223E-03  5.1805E-03  4.2954E-03
  2.8992E+06  4.0674E-01  3.6136E-03  5.2053E-03  4.3031E-03
  3.6840E+06  4.0942E-01  3.6146E-03  5.2225E-03  4.3124E-03
  4.6814E+06  4.1203E-01  3.6233E-03  5.2337E-03  4.3228E-03
  5.9487E+06  4.1458E-01  3.6297E-03  5.2446E-03  4.3317E-03
  7.5592E+06  4.1707E-01  3.6315E-03  5.2562E-03  4.3380E-03
  9.6056E+06  4.1950E-01  3.6331E-03  5.2665E-03  4.3437E-03
  1.2206E+07  4.2187E-01  3.6383E-03  5.2734E-03  4.3496E-03
  1.5511E+07  4.2419E-01  3.6449E-03  5.2786E-03  4.3556E-03
  1.9710E+07  4.2645E-01  3.6470E-03  5.2890E-03  4.3618E-03
  2.5046E+07  4.2866E-01  3.6429E-03  5.3064E-03  4.3684E-03
  3.1826E+07  4.3082E-01  3.6413E-03  5.3210E-03  4.3749E-03
  4.0442E+07  4.3293E-01  3.6495E-03  5.3256E-03  4.3812E-03
  5.1390E+07  4.3498E-01  3.6600E-03  5.3270E-03  4.3872E-03
  6.5303E+07  4.3700E-01  3.6624E-03  5.3336E-03  4.3918E-03
  8.2982E+07  4.3897E-01  3.6588E-03  5.3436E-03  4.3951E-03
  1.0545E+08  4.4089E-01  3.6571E-03  5.3526E-03  4.3988E-03
  1.3399E+08  4.4277E-01  3.6599E-03  5.3592E-03  4.4034E-03
  1.7027E+08  4.4460E-01  3.6624E-03  5.3663E-03  4.4081E-03
  2.1637E+08  4.4640E-01  3.6595E-03  5.3770E-03  4.4123E-03
  2.7494E+08  4.4816E-01  3.6540E-03  5.3893E-03  4.4160E-03
  3.4937E+08  4.4987E-01  3.6555E-03  5.3947E-03  4.4196E-03
  4.4396E+08  4.5154E-01  3.6665E-03  5.3910E-03  4.4229E-03
  5.6414E+08  4.5318E-01  3.6747E-03  5.3898E-03  4.4260E-03
  7.1687E+08  4.5478E-01  3.6746E-03  5.3957E-03  4.4292E-03
  9.1094E+08  4.5636E-01  3.6692E-03  5.4060E-03  4.4322E-03
  1.1576E+09  4.5793E-01  3.6635E-03  5.4169E-03  4.4355E-03
  1.4709E+09  4.5953E-01  3.6600E-03  5.4263E-03  4.4390E-03
  1.8692E+09  4.6113E-01  3.6567E-03  5.4359E-03  4.4428E-03
  2.3752E+09  4.6273E-01  3.6534E-03  5.4457E-03  4.4468E-03
  3.0182E+09  4.6435E-01  3.6503E-03  5.4572E-03  4.4511E-03
  3.8353E+09  4.6596E-01  3.6472E-03  5.4693E-03  4.4555E-03
  4.8736E+09  4.6759E-01  3.6444E-03  5.4816E-03  4.4602E-03
  6.1930E+09  4.6922E-01  3.6416E-03  5.4941E-03  4.4651E-03
  7.8695E+09  4.7085E-01  3.6390E-03  5.5069E-03  4.4703E-03
  1.0000E+10  4.7249E-01  3.6365E-03  5.5198E-03  4.4757E-03
