 # q =   1.0000E+01
 #         x        xchm      error+      error-       error
  1.0000E-07  3.7020E+01  5.6296E+01  2.5360E+01  4.0160E+01
  1.1767E-07  3.3996E+01  4.9378E+01  2.2665E+01  3.5438E+01
  1.3846E-07  3.1220E+01  4.3264E+01  2.0233E+01  3.1240E+01
  1.6293E-07  2.8670E+01  3.7863E+01  1.8039E+01  2.7508E+01
  1.9171E-07  2.6329E+01  3.3095E+01  1.6062E+01  2.4193E+01
  2.2559E-07  2.4179E+01  2.8889E+01  1.4281E+01  2.1250E+01
  2.6545E-07  2.2204E+01  2.5180E+01  1.2677E+01  1.8639E+01
  3.1235E-07  2.0391E+01  2.1912E+01  1.1235E+01  1.6323E+01
  3.6754E-07  1.8725E+01  1.9036E+01  9.9381E+00  1.4271E+01
  4.3248E-07  1.7196E+01  1.6506E+01  8.7732E+00  1.2453E+01
  5.0890E-07  1.5792E+01  1.4282E+01  7.7277E+00  1.0845E+01
  5.9882E-07  1.4502E+01  1.2329E+01  6.7901E+00  9.4233E+00
  7.0462E-07  1.3318E+01  1.0617E+01  5.9500E+00  8.1674E+00
  8.2912E-07  1.2230E+01  9.1162E+00  5.1981E+00  7.0591E+00
  9.7562E-07  1.1231E+01  7.8030E+00  4.5259E+00  6.0821E+00
  1.1480E-06  1.0343E+01  6.7345E+00  3.9543E+00  5.2749E+00
  1.3509E-06  9.5119E+00  5.7633E+00  3.4297E+00  4.5388E+00
  1.5895E-06  8.7307E+00  4.8689E+00  2.9449E+00  3.8604E+00
  1.8704E-06  7.9991E+00  4.0577E+00  2.4996E+00  3.2396E+00
  2.2009E-06  7.3138E+00  3.3233E+00  2.0907E+00  2.6718E+00
  2.5898E-06  6.6664E+00  2.6440E+00  1.7103E+00  2.1459E+00
  3.0474E-06  6.0716E+00  2.0476E+00  1.3724E+00  1.6826E+00
  3.5858E-06  5.5463E+00  1.5656E+00  1.0929E+00  1.3056E+00
  4.2194E-06  5.1088E+00  1.2282E+00  8.8881E-01  1.0381E+00
  4.9649E-06  4.7672E+00  1.0437E+00  7.6775E-01  8.8737E-01
  5.8422E-06  4.4665E+00  9.1381E-01  6.7771E-01  7.7906E-01
  6.8744E-06  4.1664E+00  7.7043E-01  5.8084E-01  6.6062E-01
  8.0891E-06  3.8838E+00  6.4248E-01  4.9316E-01  5.5430E-01
  9.5184E-06  3.6182E+00  5.2914E-01  4.1424E-01  4.5945E-01
  1.1200E-05  3.3741E+00  4.3579E-01  3.4751E-01  3.8039E-01
  1.3179E-05  3.1534E+00  3.6374E-01  2.9431E-01  3.1849E-01
  1.5508E-05  2.9516E+00  3.0697E-01  2.5108E-01  2.6907E-01
  1.8248E-05  2.7637E+00  2.5991E-01  2.1422E-01  2.2757E-01
  2.1472E-05  2.5859E+00  2.1884E-01  1.8096E-01  1.9072E-01
  2.5266E-05  2.4223E+00  1.8676E-01  1.5404E-01  1.6152E-01
  2.9731E-05  2.2719E+00  1.6171E-01  1.3271E-01  1.3876E-01
  3.4984E-05  2.1321E+00  1.4072E-01  1.1516E-01  1.2022E-01
  4.1165E-05  2.0004E+00  1.2202E-01  9.9758E-02  1.0411E-01
  4.8439E-05  1.8784E+00  1.0636E-01  8.7258E-02  9.1041E-02
  5.6998E-05  1.7646E+00  9.3234E-02  7.8681E-02  8.0312E-02
  6.7069E-05  1.6564E+00  8.1255E-02  7.1454E-02  7.0645E-02
  7.8919E-05  1.5548E+00  7.0886E-02  6.5100E-02  6.2377E-02
  9.2864E-05  1.4606E+00  6.2452E-02  5.9420E-02  5.5631E-02
  1.0927E-04  1.3718E+00  5.5094E-02  5.4252E-02  4.9743E-02
  1.2858E-04  1.2880E+00  4.8649E-02  4.9575E-02  4.4584E-02
  1.5130E-04  1.2091E+00  4.3030E-02  4.5303E-02  4.0058E-02
  1.7803E-04  1.1344E+00  3.8072E-02  4.1359E-02  3.6025E-02
  2.0949E-04  1.0635E+00  3.3630E-02  3.7684E-02  3.2375E-02
  2.4650E-04  9.9700E-01  2.9847E-02  3.4297E-02  2.9188E-02
  2.9006E-04  9.3468E-01  2.6667E-02  3.1188E-02  2.6421E-02
