 # x =   1.0000E-02
 #        q2       xdbar      error+      error-       error
  5.0000E-01  1.4711E-01  5.5099E-03  5.9195E-03  5.6410E-03
  6.3536E-01  1.7714E-01  6.4894E-03  7.0106E-03  6.6621E-03
  8.0737E-01  2.0237E-01  7.0959E-03  7.7517E-03  7.3252E-03
  1.0259E+00  2.1418E-01  6.9638E-03  7.7641E-03  7.2635E-03
  1.3037E+00  2.1952E-01  6.5288E-03  7.4449E-03  6.8852E-03
  1.6566E+00  2.2693E-01  6.2062E-03  7.1760E-03  6.5875E-03
  2.1051E+00  2.3581E-01  5.9643E-03  6.9621E-03  6.3595E-03
  2.6750E+00  2.4551E-01  5.7602E-03  6.8060E-03  6.1808E-03
  3.3992E+00  2.5582E-01  5.5658E-03  6.7007E-03  6.0315E-03
  4.3194E+00  2.6645E-01  5.4287E-03  6.5897E-03  5.9067E-03
  5.4888E+00  2.7724E-01  5.3280E-03  6.4968E-03  5.8094E-03
  6.9748E+00  2.8805E-01  5.2383E-03  6.4204E-03  5.7259E-03
  8.8630E+00  2.9881E-01  5.1700E-03  6.3627E-03  5.6618E-03
  1.1262E+01  3.0944E-01  5.1025E-03  6.3125E-03  5.6035E-03
  1.4311E+01  3.1989E-01  5.0298E-03  6.2758E-03  5.5501E-03
  1.8186E+01  3.3013E-01  4.9969E-03  6.2136E-03  5.5032E-03
  2.3109E+01  3.4015E-01  4.9883E-03  6.1378E-03  5.4614E-03
  2.9365E+01  3.4992E-01  4.9367E-03  6.1185E-03  5.4284E-03
  3.7315E+01  3.5941E-01  4.9249E-03  6.0652E-03  5.3965E-03
  4.7417E+01  3.6864E-01  4.8947E-03  6.0453E-03  5.3693E-03
  6.0254E+01  3.7760E-01  4.8588E-03  6.0359E-03  5.3454E-03
  7.6566E+01  3.8630E-01  4.8468E-03  6.0044E-03  5.3220E-03
  9.7294E+01  3.9473E-01  4.8430E-03  5.9676E-03  5.2996E-03
  1.2363E+02  4.0291E-01  4.8174E-03  5.9602E-03  5.2790E-03
  1.5710E+02  4.1084E-01  4.7872E-03  5.9598E-03  5.2599E-03
  1.9964E+02  4.1851E-01  4.7711E-03  5.9454E-03  5.2421E-03
  2.5368E+02  4.2595E-01  4.7589E-03  5.9312E-03  5.2273E-03
  3.2236E+02  4.3315E-01  4.7464E-03  5.9274E-03  5.2182E-03
