 # q =   1.0000E+01
 #         x       xdbar      error+      error-       error
  1.0000E-07  4.3545E+01  7.0462E+01  3.0998E+01  4.9905E+01
  1.1767E-07  4.0057E+01  6.1878E+01  2.7749E+01  4.4092E+01
  1.3846E-07  3.6849E+01  5.4283E+01  2.4811E+01  3.8917E+01
  1.6293E-07  3.3897E+01  4.7565E+01  2.2155E+01  3.4310E+01
  1.9171E-07  3.1182E+01  4.1626E+01  1.9757E+01  3.0212E+01
  2.2559E-07  2.8684E+01  3.6380E+01  1.7593E+01  2.6569E+01
  2.6545E-07  2.6386E+01  3.1749E+01  1.5640E+01  2.3332E+01
  3.1235E-07  2.4273E+01  2.7663E+01  1.3880E+01  2.0457E+01
  3.6754E-07  2.2329E+01  2.4061E+01  1.2294E+01  1.7905E+01
  4.3248E-07  2.0540E+01  2.0889E+01  1.0867E+01  1.5643E+01
  5.0890E-07  1.8895E+01  1.8097E+01  9.5829E+00  1.3637E+01
  5.9882E-07  1.7381E+01  1.5642E+01  8.4293E+00  1.1862E+01
  7.0462E-07  1.5989E+01  1.3486E+01  7.3936E+00  1.0291E+01
  8.2912E-07  1.4708E+01  1.1594E+01  6.4647E+00  8.9027E+00
  9.7562E-07  1.3530E+01  9.9355E+00  5.6324E+00  7.6769E+00
  1.1480E-06  1.2477E+01  8.5827E+00  4.9216E+00  6.6610E+00
  1.3509E-06  1.1492E+01  7.3520E+00  4.2688E+00  5.7338E+00
  1.5895E-06  1.0566E+01  6.2181E+00  3.6650E+00  4.8789E+00
  1.8704E-06  9.7000E+00  5.1812E+00  3.1105E+00  4.0962E+00
  2.2009E-06  8.8886E+00  4.2398E+00  2.6009E+00  3.3797E+00
  2.5898E-06  8.1222E+00  3.3774E+00  2.1265E+00  2.7154E+00
  3.0474E-06  7.4186E+00  2.6188E+00  1.7047E+00  2.1294E+00
  3.5858E-06  6.7982E+00  2.0033E+00  1.3553E+00  1.6511E+00
  4.2194E-06  6.2829E+00  1.5699E+00  1.0995E+00  1.3100E+00
