 # x =   1.0000E-02
 #        q2         xdn      error+      error-       error
  5.0000E-01  2.2331E-01  6.4611E-03  6.5252E-03  6.4256E-03
  6.3536E-01  2.6909E-01  7.6250E-03  7.7421E-03  7.6022E-03
  8.0737E-01  3.0786E-01  8.3698E-03  8.5939E-03  8.3885E-03
  1.0259E+00  3.2665E-01  8.2696E-03  8.6692E-03  8.3681E-03
  1.3037E+00  3.3488E-01  7.8317E-03  8.3536E-03  7.9856E-03
  1.6566E+00  3.4484E-01  7.5124E-03  8.0798E-03  7.6841E-03
  2.1051E+00  3.5600E-01  7.2484E-03  7.8850E-03  7.4488E-03
  2.6750E+00  3.6777E-01  7.0446E-03  7.7313E-03  7.2650E-03
  3.3992E+00  3.7995E-01  6.8467E-03  7.6391E-03  7.1154E-03
  4.3194E+00  3.9231E-01  6.6841E-03  7.5639E-03  6.9925E-03
  5.4888E+00  4.0468E-01  6.5762E-03  7.4924E-03  6.9000E-03
  6.9748E+00  4.1696E-01  6.4668E-03  7.4390E-03  6.8160E-03
  8.8630E+00  4.2909E-01  6.3599E-03  7.4192E-03  6.7502E-03
  1.1262E+01  4.4100E-01  6.2746E-03  7.4017E-03  6.6968E-03
  1.4311E+01  4.5264E-01  6.1935E-03  7.3940E-03  6.6504E-03
  1.8186E+01  4.6400E-01  6.1369E-03  7.3743E-03  6.6101E-03
  2.3109E+01  4.7507E-01  6.0996E-03  7.3451E-03  6.5746E-03
  2.9365E+01  4.8582E-01  6.0466E-03  7.3428E-03  6.5443E-03
  3.7315E+01  4.9626E-01  5.9883E-03  7.3508E-03  6.5162E-03
  4.7417E+01  5.0639E-01  5.9355E-03  7.3600E-03  6.4920E-03
  6.0254E+01  5.1620E-01  5.8884E-03  7.3692E-03  6.4709E-03
  7.6566E+01  5.2570E-01  5.8547E-03  7.3695E-03  6.4514E-03
  9.7294E+01  5.3490E-01  5.8273E-03  7.3667E-03  6.4334E-03
  1.2363E+02  5.4382E-01  5.7899E-03  7.3768E-03  6.4173E-03
  1.5710E+02  5.5244E-01  5.7543E-03  7.3869E-03  6.4027E-03
  1.9964E+02  5.6079E-01  5.7405E-03  7.3764E-03  6.3890E-03
  2.5368E+02  5.6887E-01  5.7249E-03  7.3709E-03  6.3774E-03
  3.2236E+02  5.7669E-01  5.6901E-03  7.3947E-03  6.3697E-03
  4.0963E+02  5.8426E-01  5.6593E-03  7.4135E-03  6.3614E-03
  5.2053E+02  5.9158E-01  5.6474E-03  7.4068E-03  6.3498E-03
  6.6145E+02  5.9867E-01  5.6291E-03  7.4058E-03  6.3379E-03
  8.4051E+02  6.0554E-01  5.5870E-03  7.4301E-03  6.3264E-03
  1.0681E+03  6.1220E-01  5.5516E-03  7.4508E-03  6.3169E-03
  1.3572E+03  6.1863E-01  5.5365E-03  7.4565E-03  6.3110E-03
  1.7246E+03  6.2487E-01  5.5238E-03  7.4601E-03  6.3054E-03
  2.1915E+03  6.3091E-01  5.4994E-03  7.4707E-03  6.2970E-03
  2.7848E+03  6.3677E-01  5.4705E-03  7.4837E-03  6.2874E-03
  3.5388E+03  6.4244E-01  5.4468E-03  7.4946E-03  6.2796E-03
  4.4968E+03  6.4794E-01  5.4287E-03  7.5031E-03  6.2737E-03
  5.7141E+03  6.5327E-01  5.4093E-03  7.5113E-03  6.2673E-03
  7.2611E+03  6.5844E-01  5.3836E-03  7.5205E-03  6.2593E-03
  9.2268E+03  6.6346E-01  5.3583E-03  7.5287E-03  6.2512E-03
  1.1725E+04  6.6833E-01  5.3428E-03  7.5329E-03  6.2454E-03
  1.4899E+04  6.7304E-01  5.3346E-03  7.5339E-03  6.2412E-03
  1.8932E+04  6.7762E-01  5.3215E-03  7.5369E-03  6.2358E-03
  2.4058E+04  6.8207E-01  5.2992E-03  7.5438E-03  6.2284E-03
  3.0571E+04  6.8638E-01  5.2765E-03  7.5508E-03  6.2208E-03
  3.8847E+04  6.9057E-01  5.2608E-03  7.5535E-03  6.2143E-03
  4.9364E+04  6.9464E-01  5.2481E-03  7.5543E-03  6.2083E-03
  6.2728E+04  6.9860E-01  5.2308E-03  7.5591E-03  6.2021E-03
  7.9710E+04  7.0244E-01  5.2086E-03  7.5681E-03  6.1959E-03
  1.0129E+05  7.0617E-01  5.1884E-03  7.5759E-03  6.1898E-03
  1.2871E+05  7.0979E-01  5.1734E-03  7.5794E-03  6.1838E-03
  1.6355E+05  7.1332E-01  5.1606E-03  7.5816E-03  6.1783E-03
  2.0783E+05  7.1675E-01  5.1485E-03  7.5854E-03  6.1743E-03
  2.6410E+05  7.2008E-01  5.1376E-03  7.5906E-03  6.1717E-03
  3.3559E+05  7.2332E-01  5.1230E-03  7.5983E-03  6.1686E-03
  4.2645E+05  7.2647E-01  5.1009E-03  7.6105E-03  6.1644E-03
  5.4190E+05  7.2954E-01  5.0791E-03  7.6203E-03  6.1593E-03
  6.8860E+05  7.3252E-01  5.0648E-03  7.6192E-03  6.1523E-03
  8.7502E+05  7.3542E-01  5.0542E-03  7.6128E-03  6.1445E-03
  1.1119E+06  7.3824E-01  5.0433E-03  7.6123E-03  6.1390E-03
  1.4129E+06  7.4099E-01  5.0322E-03  7.6183E-03  6.1361E-03
  1.7954E+06  7.4366E-01  5.0216E-03  7.6229E-03  6.1331E-03
  2.2815E+06  7.4626E-01  5.0118E-03  7.6214E-03  6.1285E-03
  2.8992E+06  7.4880E-01  5.0026E-03  7.6176E-03  6.1233E-03
  3.6840E+06  7.5126E-01  4.9943E-03  7.6140E-03  6.1180E-03
  4.6814E+06  7.5366E-01  4.9872E-03  7.6098E-03  6.1124E-03
  5.9487E+06  7.5601E-01  4.9739E-03  7.6128E-03  6.1074E-03
  7.5592E+06  7.5829E-01  4.9501E-03  7.6277E-03  6.1033E-03
  9.6056E+06  7.6051E-01  4.9266E-03  7.6424E-03  6.0992E-03
  1.2206E+07  7.6268E-01  4.9117E-03  7.6469E-03  6.0946E-03
  1.5511E+07  7.6479E-01  4.9022E-03  7.6454E-03  6.0898E-03
  1.9710E+07  7.6684E-01  4.8987E-03  7.6388E-03  6.0857E-03
  2.5046E+07  7.6884E-01  4.9044E-03  7.6239E-03  6.0823E-03
  3.1826E+07  7.7079E-01  4.9047E-03  7.6147E-03  6.0787E-03
  4.0442E+07  7.7269E-01  4.8868E-03  7.6234E-03  6.0741E-03
  5.1390E+07  7.7455E-01  4.8630E-03  7.6378E-03  6.0692E-03
  6.5303E+07  7.7636E-01  4.8488E-03  7.6422E-03  6.0647E-03
  8.2982E+07  7.7812E-01  4.8409E-03  7.6399E-03  6.0602E-03
  1.0545E+08  7.7984E-01  4.8339E-03  7.6384E-03  6.0565E-03
  1.3399E+08  7.8151E-01  4.8270E-03  7.6399E-03  6.0538E-03
  1.7027E+08  7.8314E-01  4.8206E-03  7.6405E-03  6.0511E-03
  2.1637E+08  7.8473E-01  4.8156E-03  7.6365E-03  6.0472E-03
  2.7494E+08  7.8629E-01  4.8110E-03  7.6300E-03  6.0426E-03
  3.4937E+08  7.8780E-01  4.8009E-03  7.6279E-03  6.0373E-03
  4.4396E+08  7.8928E-01  4.7823E-03  7.6321E-03  6.0308E-03
  5.6414E+08  7.9071E-01  4.7685E-03  7.6337E-03  6.0251E-03
  7.1687E+08  7.9212E-01  4.7658E-03  7.6285E-03  6.0211E-03
  9.1094E+08  7.9349E-01  4.7708E-03  7.6187E-03  6.0184E-03
  1.1576E+09  7.9486E-01  4.7767E-03  7.6087E-03  6.0159E-03
  1.4709E+09  7.9624E-01  4.7798E-03  7.6006E-03  6.0130E-03
  1.8692E+09  7.9763E-01  4.7831E-03  7.5927E-03  6.0104E-03
  2.3752E+09  7.9902E-01  4.7867E-03  7.5848E-03  6.0078E-03
  3.0182E+09  8.0041E-01  4.7904E-03  7.5770E-03  6.0054E-03
  3.8353E+09  8.0181E-01  4.7945E-03  7.5694E-03  6.0032E-03
  4.8736E+09  8.0321E-01  4.7988E-03  7.5618E-03  6.0011E-03
  6.1930E+09  8.0461E-01  4.8033E-03  7.5544E-03  5.9991E-03
  7.8695E+09  8.0601E-01  4.8081E-03  7.5470E-03  5.9973E-03
  1.0000E+10  8.0741E-01  4.8131E-03  7.5398E-03  5.9957E-03
