 # x =   1.0000E-02
 #        q2        xglu      error+      error-       error
  5.0000E-01  1.1431E-01  5.3468E-02  4.7429E-02  4.8973E-02
  6.3536E-01  1.7318E-01  7.2419E-02  6.5402E-02  6.6892E-02
  8.0737E-01  3.1155E-01  1.0057E-01  9.3993E-02  9.4429E-02
  1.0259E+00  7.1616E-01  1.2094E-01  1.1869E-01  1.1634E-01
  1.3037E+00  1.3205E+00  1.1819E-01  1.2108E-01  1.1633E-01
  1.6566E+00  1.8849E+00  1.1488E-01  1.2179E-01  1.1525E-01
  2.1051E+00  2.4032E+00  1.1116E-01  1.2109E-01  1.1325E-01
  2.6750E+00  2.8734E+00  1.0711E-01  1.1946E-01  1.1058E-01
  3.3992E+00  3.3071E+00  1.0354E-01  1.1719E-01  1.0779E-01
  4.3194E+00  3.7067E+00  1.0030E-01  1.1459E-01  1.0500E-01
  5.4888E+00  4.0749E+00  9.7138E-02  1.1215E-01  1.0233E-01
  6.9748E+00  4.4142E+00  9.3954E-02  1.1008E-01  9.9721E-02
  8.8630E+00  4.7271E+00  9.1011E-02  1.0799E-01  9.7275E-02
  1.1262E+01  5.0156E+00  8.8551E-02  1.0576E-01  9.4986E-02
  1.4311E+01  5.2825E+00  8.6252E-02  1.0370E-01  9.2856E-02
  1.8186E+01  5.5283E+00  8.4008E-02  1.0191E-01  9.0900E-02
  2.3109E+01  5.7513E+00  8.1773E-02  1.0024E-01  8.9019E-02
  2.9365E+01  5.9416E+00  7.9502E-02  9.8319E-02  8.7016E-02
  3.7315E+01  6.1191E+00  7.7303E-02  9.6758E-02  8.5220E-02
  4.7417E+01  6.2834E+00  7.5403E-02  9.5142E-02  8.3558E-02
  6.0254E+01  6.4350E+00  7.3707E-02  9.3547E-02  8.2016E-02
  7.6566E+01  6.5758E+00  7.1996E-02  9.2336E-02  8.0624E-02
  9.7294E+01  6.7061E+00  7.0323E-02  9.1697E-02  7.9343E-02
  1.2363E+02  6.8270E+00  6.8779E-02  9.1074E-02  7.8153E-02
  1.5710E+02  6.9390E+00  6.7381E-02  9.0458E-02  7.7056E-02
  1.9964E+02  7.0429E+00  6.6245E-02  8.9786E-02  7.6081E-02
  2.5368E+02  7.1394E+00  6.5174E-02  8.9180E-02  7.5187E-02
  3.2236E+02  7.2288E+00  6.4024E-02  8.8728E-02  7.4344E-02
  4.0963E+02  7.3118E+00  6.2923E-02  8.8344E-02  7.3572E-02
  5.2053E+02  7.3888E+00  6.1899E-02  8.8020E-02  7.2871E-02
  6.6145E+02  7.4603E+00  6.0983E-02  8.7683E-02  7.2225E-02
  8.4051E+02  7.5266E+00  6.0226E-02  8.7238E-02  7.1624E-02
  1.0681E+03  7.5882E+00  5.9482E-02  8.6842E-02  7.1066E-02
  1.3572E+03  7.6451E+00  5.8672E-02  8.6557E-02  7.0534E-02
  1.7246E+03  7.6979E+00  5.7907E-02  8.6290E-02  7.0040E-02
  2.1915E+03  7.7468E+00  5.7273E-02  8.5973E-02  6.9595E-02
  2.7848E+03  7.7920E+00  5.6715E-02  8.5635E-02  6.9184E-02
  3.5388E+03  7.8339E+00  5.6176E-02  8.5330E-02  6.8798E-02
  4.4968E+03  7.8725E+00  5.5656E-02  8.5044E-02  6.8424E-02
  5.7141E+03  7.9082E+00  5.5155E-02  8.4791E-02  6.8075E-02
  7.2611E+03  7.9411E+00  5.4639E-02  8.4598E-02  6.7749E-02
  9.2268E+03  7.9714E+00  5.4168E-02  8.4403E-02  6.7441E-02
  1.1725E+04  7.9992E+00  5.3843E-02  8.4117E-02  6.7161E-02
