 # q =   1.0000E+01
 #         x        xglu      error+      error-       error
  1.0000E-07  1.5026E+03  1.5575E+03  7.5166E+02  1.1361E+03
  1.1767E-07  1.3896E+03  1.3768E+03  6.7466E+02  1.0095E+03
  1.3846E-07  1.2852E+03  1.2155E+03  6.0479E+02  8.9589E+02
  1.6293E-07  1.1885E+03  1.0717E+03  5.4145E+02  7.9406E+02
  1.9171E-07  1.0992E+03  9.4353E+02  4.8405E+02  7.0283E+02
  2.2559E-07  1.0165E+03  8.2937E+02  4.3207E+02  6.2115E+02
  2.6545E-07  9.4007E+02  7.2776E+02  3.8502E+02  5.4805E+02
  3.1235E-07  8.6939E+02  6.3740E+02  3.4248E+02  4.8269E+02
  3.6754E-07  8.0402E+02  5.5711E+02  3.0403E+02  4.2428E+02
  4.3248E-07  7.4356E+02  4.8582E+02  2.6932E+02  3.7214E+02
  5.0890E-07  6.8765E+02  4.2260E+02  2.3799E+02  3.2563E+02
  5.9882E-07  6.3595E+02  3.6657E+02  2.0975E+02  2.8417E+02
  7.0462E-07  5.8813E+02  3.1699E+02  1.8432E+02  2.4726E+02
  8.2912E-07  5.4391E+02  2.7316E+02  1.6144E+02  2.1444E+02
  9.7562E-07  5.0301E+02  2.3446E+02  1.4088E+02  1.8528E+02
  1.1480E-06  4.6627E+02  2.0234E+02  1.2320E+02  1.6077E+02
  1.3509E-06  4.3173E+02  1.7307E+02  1.0694E+02  1.3837E+02
  1.5895E-06  3.9909E+02  1.4650E+02  9.1908E+01  1.1772E+02
  1.8704E-06  3.6838E+02  1.2224E+02  7.8106E+01  9.8839E+01
  2.2009E-06  3.3945E+02  1.0010E+02  6.5428E+01  8.1571E+01
  2.5898E-06  3.1203E+02  7.9640E+01  5.3634E+01  6.5582E+01
  3.0474E-06  2.8661E+02  6.1712E+01  4.3157E+01  5.1514E+01
  3.5858E-06  2.6382E+02  4.7267E+01  3.4492E+01  4.0079E+01
  4.2194E-06  2.4428E+02  3.7195E+01  2.8161E+01  3.1973E+01
  4.9649E-06  2.2828E+02  3.1691E+01  2.4387E+01  2.7402E+01
  5.8422E-06  2.1390E+02  2.7807E+01  2.1573E+01  2.4109E+01
  6.8744E-06  1.9969E+02  2.3522E+01  1.8564E+01  2.0516E+01
  8.0891E-06  1.8626E+02  1.9700E+01  1.5839E+01  1.7289E+01
  9.5184E-06  1.7358E+02  1.6326E+01  1.3373E+01  1.4408E+01
  1.1200E-05  1.6184E+02  1.3546E+01  1.1282E+01  1.2003E+01
  1.3179E-05  1.5112E+02  1.1391E+01  9.6113E+00  1.0113E+01
  1.5508E-05  1.4122E+02  9.6825E+00  8.2489E+00  8.5983E+00
  1.8248E-05  1.3196E+02  8.2590E+00  7.0834E+00  7.3215E+00
  2.1472E-05  1.2319E+02  7.0138E+00  6.0297E+00  6.1852E+00
  2.5266E-05  1.1506E+02  6.0243E+00  5.1724E+00  5.2778E+00
  2.9731E-05  1.0754E+02  5.2219E+00  4.4874E+00  4.5625E+00
  3.4984E-05  1.0054E+02  4.5454E+00  3.9187E+00  3.9740E+00
  4.1165E-05  9.3934E+01  3.9443E+00  3.4154E+00  3.4593E+00
  4.8439E-05  8.7803E+01  3.4432E+00  3.0189E+00  3.0369E+00
  5.6998E-05  8.2083E+01  3.0225E+00  2.7313E+00  2.6860E+00
  6.7069E-05  7.6652E+01  2.6367E+00  2.4709E+00  2.3671E+00
  7.8919E-05  7.1557E+01  2.3013E+00  2.2394E+00  2.0914E+00
  9.2864E-05  6.6841E+01  2.0274E+00  2.0354E+00  1.8650E+00
  1.0927E-04  6.2405E+01  1.7877E+00  1.8492E+00  1.6660E+00
  1.2858E-04  5.8235E+01  1.5774E+00  1.6791E+00  1.4899E+00
  1.5130E-04  5.4315E+01  1.3937E+00  1.5233E+00  1.3342E+00
  1.7803E-04  5.0620E+01  1.2313E+00  1.3799E+00  1.1950E+00
  2.0949E-04  4.7128E+01  1.0860E+00  1.2474E+00  1.0689E+00
  2.4650E-04  4.3868E+01  9.6202E-01  1.1269E+00  9.5877E-01
  2.9006E-04  4.0829E+01  8.5721E-01  1.0175E+00  8.6282E-01
  3.4131E-04  3.7981E+01  7.6622E-01  9.1772E-01  7.7754E-01
  4.0162E-04  3.5295E+01  6.8410E-01  8.2606E-01  6.9974E-01
  4.7258E-04  3.2777E+01  6.1104E-01  7.4306E-01  6.2969E-01
  5.5608E-04  3.0426E+01  5.4752E-01  6.6819E-01  5.6748E-01
  6.5434E-04  2.8216E+01  4.9081E-01  5.9916E-01  5.1084E-01
  7.6995E-04  2.6148E+01  4.4070E-01  5.3636E-01  4.5993E-01
  9.0600E-04  2.4208E+01  3.9515E-01  4.8073E-01  4.1422E-01
  1.0661E-03  2.2388E+01  3.5394E-01  4.3140E-01  3.7280E-01
  1.2544E-03  2.0689E+01  3.1707E-01  3.8676E-01  3.3530E-01
  1.4761E-03  1.9103E+01  2.8397E-01  3.4639E-01  3.0137E-01
  1.7369E-03  1.7616E+01  2.5392E-01  3.0965E-01  2.7042E-01
  2.0438E-03  1.6215E+01  2.2638E-01  2.7598E-01  2.4195E-01
  2.4049E-03  1.4909E+01  2.0180E-01  2.4559E-01  2.1624E-01
  2.8299E-03  1.3699E+01  1.8014E-01  2.1852E-01  1.9326E-01
  3.3299E-03  1.2573E+01  1.6072E-01  1.9438E-01  1.7259E-01
  3.9183E-03  1.1517E+01  1.4287E-01  1.7287E-01  1.5383E-01
  4.6106E-03  1.0532E+01  1.2633E-01  1.5412E-01  1.3693E-01
  5.4253E-03  9.6193E+00  1.1147E-01  1.3795E-01  1.2196E-01
  6.3839E-03  8.7676E+00  9.8345E-02  1.2337E-01  1.0853E-01
  7.5118E-03  7.9769E+00  8.7013E-02  1.1037E-01  9.6668E-02
  8.8391E-03  7.2420E+00  7.6940E-02  9.9105E-02  8.6219E-02
  1.0401E-02  6.5602E+00  6.8137E-02  8.9396E-02  7.7123E-02
  1.2239E-02  5.9290E+00  6.0652E-02  8.0998E-02  6.9312E-02
  1.4401E-02  5.3433E+00  5.4406E-02  7.3717E-02  6.2665E-02
  1.6946E-02  4.8025E+00  4.9366E-02  6.7446E-02  5.7125E-02
  1.9940E-02  4.3023E+00  4.5242E-02  6.2091E-02  5.2515E-02
  2.3463E-02  3.8404E+00  4.1823E-02  5.7511E-02  4.8669E-02
  2.7609E-02  3.4158E+00  3.9043E-02  5.3510E-02  4.5444E-02
