 # x =   1.0000E-02
 #        q2       xsbar      error+      error-       error
  5.0000E-01  5.5077E-02  1.3879E-02  8.9561E-03  1.1275E-02
  6.3536E-01  6.6957E-02  1.6532E-02  1.0695E-02  1.3443E-02
  8.0737E-01  7.7957E-02  1.8471E-02  1.2012E-02  1.5049E-02
  1.0259E+00  8.5241E-02  1.8764E-02  1.2323E-02  1.5342E-02
  1.3037E+00  9.1448E-02  1.8215E-02  1.2112E-02  1.4959E-02
  1.6566E+00  9.9625E-02  1.7751E-02  1.1953E-02  1.4642E-02
  2.1051E+00  1.0918E-01  1.7336E-02  1.1825E-02  1.4366E-02
  2.6750E+00  1.1950E-01  1.6970E-02  1.1715E-02  1.4126E-02
  3.3992E+00  1.3036E-01  1.6630E-02  1.1647E-02  1.3913E-02
  4.3194E+00  1.4151E-01  1.6315E-02  1.1597E-02  1.3720E-02
  5.4888E+00  1.5276E-01  1.6046E-02  1.1520E-02  1.3540E-02
  6.9748E+00  1.6403E-01  1.5775E-02  1.1482E-02  1.3376E-02
  8.8630E+00  1.7520E-01  1.5521E-02  1.1449E-02  1.3224E-02
  1.1262E+01  1.8624E-01  1.5284E-02  1.1415E-02  1.3079E-02
  1.4311E+01  1.9705E-01  1.5072E-02  1.1364E-02  1.2941E-02
  1.8186E+01  2.0765E-01  1.4873E-02  1.1317E-02  1.2813E-02
  2.3109E+01  2.1802E-01  1.4684E-02  1.1269E-02  1.2691E-02
  2.9365E+01  2.2810E-01  1.4497E-02  1.1221E-02  1.2568E-02
  3.7315E+01  2.3791E-01  1.4321E-02  1.1183E-02  1.2457E-02
  4.7417E+01  2.4744E-01  1.4144E-02  1.1157E-02  1.2350E-02
  6.0254E+01  2.5670E-01  1.3970E-02  1.1138E-02  1.2246E-02
  7.6566E+01  2.6568E-01  1.3811E-02  1.1098E-02  1.2143E-02
  9.7294E+01  2.7439E-01  1.3664E-02  1.1047E-02  1.2042E-02
  1.2363E+02  2.8283E-01  1.3524E-02  1.0996E-02  1.1945E-02
  1.5710E+02  2.9101E-01  1.3392E-02  1.0945E-02  1.1852E-02
  1.9964E+02  2.9894E-01  1.3263E-02  1.0901E-02  1.1763E-02
  2.5368E+02  3.0663E-01  1.3135E-02  1.0862E-02  1.1676E-02
  3.2236E+02  3.1407E-01  1.3003E-02  1.0829E-02  1.1590E-02
  4.0963E+02  3.2129E-01  1.2879E-02  1.0791E-02  1.1507E-02
  5.2053E+02  3.2827E-01  1.2774E-02  1.0737E-02  1.1426E-02
  6.6145E+02  3.3504E-01  1.2671E-02  1.0686E-02  1.1347E-02
  8.4051E+02  3.4160E-01  1.2559E-02  1.0648E-02  1.1270E-02
  1.0681E+03  3.4797E-01  1.2450E-02  1.0611E-02  1.1196E-02
  1.3572E+03  3.5413E-01  1.2345E-02  1.0574E-02  1.1122E-02
  1.7246E+03  3.6011E-01  1.2244E-02  1.0534E-02  1.1051E-02
  2.1915E+03  3.6590E-01  1.2152E-02  1.0488E-02  1.0981E-02
  2.7848E+03  3.7152E-01  1.2066E-02  1.0437E-02  1.0914E-02
