 # q =   1.0000E+01
 #         x       xsbar      error+      error-       error
  1.0000E-07  4.3421E+01  7.2342E+01  3.1851E+01  5.1249E+01
  1.1767E-07  3.9818E+01  6.3380E+01  2.8446E+01  4.5174E+01
  1.3846E-07  3.6514E+01  5.5472E+01  2.5376E+01  3.9780E+01
  1.6293E-07  3.3484E+01  4.8498E+01  2.2610E+01  3.4994E+01
  1.9171E-07  3.0705E+01  4.2351E+01  2.0119E+01  3.0748E+01
  2.2559E-07  2.8157E+01  3.6936E+01  1.7878E+01  2.6985E+01
  2.6545E-07  2.5821E+01  3.2169E+01  1.5862E+01  2.3650E+01
  3.1235E-07  2.3678E+01  2.7976E+01  1.4050E+01  2.0696E+01
  3.6754E-07  2.1713E+01  2.4290E+01  1.2422E+01  1.8083E+01
  4.3248E-07  1.9912E+01  2.1052E+01  1.0962E+01  1.5772E+01
  5.0890E-07  1.8259E+01  1.8211E+01  9.6518E+00  1.3729E+01
  5.9882E-07  1.6744E+01  1.5719E+01  8.4783E+00  1.1926E+01
  7.0462E-07  1.5355E+01  1.3536E+01  7.4278E+00  1.0335E+01
  8.2912E-07  1.4081E+01  1.1626E+01  6.4883E+00  8.9324E+00
  9.7562E-07  1.2912E+01  9.9569E+00  5.6491E+00  7.6976E+00
  1.1480E-06  1.1875E+01  8.6028E+00  4.9371E+00  6.6803E+00
  1.3509E-06  1.0906E+01  7.3720E+00  4.2838E+00  5.7527E+00
  1.5895E-06  9.9959E+00  6.2380E+00  3.6797E+00  4.8974E+00
  1.8704E-06  9.1447E+00  5.2009E+00  3.1249E+00  4.1144E+00
  2.2009E-06  8.3482E+00  4.2576E+00  2.6152E+00  3.3976E+00
  2.5898E-06  7.5964E+00  3.3949E+00  2.1411E+00  2.7331E+00
  3.0474E-06  6.9071E+00  2.6361E+00  1.7198E+00  2.1470E+00
  3.5858E-06  6.3006E+00  2.0204E+00  1.3709E+00  1.6687E+00
  4.2194E-06  5.7987E+00  1.5868E+00  1.1156E+00  1.3276E+00
  4.9649E-06  5.4113E+00  1.3475E+00  9.6285E-01  1.1340E+00
  5.8422E-06  5.0723E+00  1.1781E+00  8.4872E-01  9.9414E-01
  6.8744E-06  4.7332E+00  9.9139E-01  7.2666E-01  8.4165E-01
  8.0891E-06  4.4144E+00  8.2438E-01  6.1636E-01  7.0467E-01
  9.5184E-06  4.1151E+00  6.7624E-01  5.1717E-01  5.8244E-01
  1.1200E-05  3.8408E+00  5.5402E-01  4.3314E-01  4.8046E-01
  1.3179E-05  3.5939E+00  4.5966E-01  3.6599E-01  4.0060E-01
  1.5508E-05  3.3687E+00  3.8548E-01  3.1143E-01  3.3692E-01
  1.8248E-05  3.1595E+00  3.2419E-01  2.6500E-01  2.8358E-01
  2.1472E-05  2.9618E+00  2.7087E-01  2.2327E-01  2.3638E-01
  2.5266E-05  2.7803E+00  2.2973E-01  1.8969E-01  1.9929E-01
  2.9731E-05  2.6139E+00  1.9837E-01  1.6326E-01  1.7073E-01
  3.4984E-05  2.4595E+00  1.7331E-01  1.4171E-01  1.4782E-01
  4.1165E-05  2.3142E+00  1.5160E-01  1.2297E-01  1.2822E-01
  4.8439E-05  2.1797E+00  1.3370E-01  1.0796E-01  1.1267E-01
  5.6998E-05  2.0545E+00  1.1890E-01  9.5899E-02  1.0022E-01
  6.7069E-05  1.9353E+00  1.0567E-01  8.5424E-02  8.9241E-02
  7.8919E-05  1.8233E+00  9.4436E-02  7.8587E-02  8.0105E-02
  9.2864E-05  1.7197E+00  8.5411E-02  7.2707E-02  7.2848E-02
  1.0927E-04  1.6219E+00  7.7718E-02  6.7378E-02  6.6662E-02
  1.2858E-04  1.5296E+00  7.1184E-02  6.2488E-02  6.1361E-02
  1.5130E-04  1.4425E+00  6.5638E-02  5.7977E-02  5.6802E-02
  1.7803E-04  1.3600E+00  6.0846E-02  5.3809E-02  5.2814E-02
  2.0949E-04  1.2816E+00  5.6615E-02  4.9973E-02  4.9268E-02
  2.4650E-04  1.2080E+00  5.2997E-02  4.6466E-02  4.6188E-02
  2.9006E-04  1.1388E+00  4.9898E-02  4.3242E-02  4.3497E-02
  3.4131E-04  1.0735E+00  4.7190E-02  4.0266E-02  4.1088E-02
  4.0162E-04  1.0115E+00  4.5051E-02  3.7507E-02  3.8878E-02
  4.7258E-04  9.5274E-01  4.3028E-02  3.4960E-02  3.6852E-02
  5.5608E-04  8.9737E-01  4.1110E-02  3.2629E-02  3.4993E-02
  6.5434E-04  8.4478E-01  3.9263E-02  3.0495E-02  3.3257E-02
  7.6995E-04  7.9503E-01  3.7483E-02  2.8549E-02  3.1630E-02
  9.0600E-04  7.4781E-01  3.5751E-02  2.6765E-02  3.0086E-02
  1.0661E-03  7.0298E-01  3.4057E-02  2.5139E-02  2.8612E-02
  1.2544E-03  6.6056E-01  3.2399E-02  2.3666E-02  2.7199E-02
  1.4761E-03  6.2041E-01  3.0771E-02  2.2362E-02  2.5837E-02
  1.7369E-03  5.8225E-01  2.9170E-02  2.1222E-02  2.4514E-02
  2.0438E-03  5.4582E-01  2.7589E-02  2.0118E-02  2.3222E-02
