 # x =   1.0000E-02
 #        q2        xstr      error+      error-       error
  5.0000E-01  5.3606E-02  1.4349E-02  8.9870E-03  1.1468E-02
  6.3536E-01  6.5236E-02  1.7109E-02  1.0736E-02  1.3683E-02
  8.0737E-01  7.6106E-02  1.9156E-02  1.2066E-02  1.5340E-02
  1.0259E+00  8.3505E-02  1.9531E-02  1.2387E-02  1.5675E-02
  1.3037E+00  8.9947E-02  1.9035E-02  1.2182E-02  1.5321E-02
  1.6566E+00  9.8338E-02  1.8616E-02  1.2026E-02  1.5027E-02
  2.1051E+00  1.0809E-01  1.8240E-02  1.1899E-02  1.4769E-02
  2.6750E+00  1.1859E-01  1.7908E-02  1.1789E-02  1.4543E-02
  3.3992E+00  1.2962E-01  1.7599E-02  1.1706E-02  1.4341E-02
  4.3194E+00  1.4093E-01  1.7312E-02  1.1638E-02  1.4157E-02
  5.4888E+00  1.5234E-01  1.7071E-02  1.1541E-02  1.3984E-02
  6.9748E+00  1.6374E-01  1.6825E-02  1.1483E-02  1.3826E-02
  8.8630E+00  1.7505E-01  1.6593E-02  1.1429E-02  1.3678E-02
  1.1262E+01  1.8621E-01  1.6376E-02  1.1373E-02  1.3536E-02
  1.4311E+01  1.9715E-01  1.6183E-02  1.1302E-02  1.3401E-02
  1.8186E+01  2.0786E-01  1.6003E-02  1.1235E-02  1.3274E-02
  2.3109E+01  2.1833E-01  1.5833E-02  1.1167E-02  1.3154E-02
  2.9365E+01  2.2852E-01  1.5660E-02  1.1100E-02  1.3032E-02
  3.7315E+01  2.3843E-01  1.5499E-02  1.1042E-02  1.2921E-02
  4.7417E+01  2.4806E-01  1.5335E-02  1.0998E-02  1.2814E-02
  6.0254E+01  2.5741E-01  1.5172E-02  1.0961E-02  1.2711E-02
  7.6566E+01  2.6648E-01  1.5027E-02  1.0904E-02  1.2608E-02
  9.7294E+01  2.7527E-01  1.4894E-02  1.0836E-02  1.2506E-02
  1.2363E+02  2.8379E-01  1.4767E-02  1.0770E-02  1.2410E-02
  1.5710E+02  2.9205E-01  1.4646E-02  1.0704E-02  1.2317E-02
  1.9964E+02  3.0006E-01  1.4526E-02  1.0644E-02  1.2226E-02
  2.5368E+02  3.0781E-01  1.4407E-02  1.0589E-02  1.2138E-02
  3.2236E+02  3.1533E-01  1.4282E-02  1.0541E-02  1.2051E-02
  4.0963E+02  3.2261E-01  1.4166E-02  1.0488E-02  1.1966E-02
  5.2053E+02  3.2966E-01  1.4069E-02  1.0421E-02  1.1884E-02
  6.6145E+02  3.3650E-01  1.3974E-02  1.0356E-02  1.1805E-02
  8.4051E+02  3.4312E-01  1.3871E-02  1.0306E-02  1.1727E-02
  1.0681E+03  3.4955E-01  1.3770E-02  1.0258E-02  1.1652E-02
  1.3572E+03  3.5577E-01  1.3670E-02  1.0208E-02  1.1578E-02
  1.7246E+03  3.6180E-01  1.3575E-02  1.0157E-02  1.1505E-02
  2.1915E+03  3.6765E-01  1.3489E-02  1.0099E-02  1.1434E-02
  2.7848E+03  3.7332E-01  1.3409E-02  1.0038E-02  1.1365E-02
  3.5388E+03  3.7882E-01  1.3325E-02  9.9851E-03  1.1298E-02
  4.4968E+03  3.8416E-01  1.3237E-02  9.9416E-03  1.1233E-02
  5.7141E+03  3.8934E-01  1.3151E-02  9.8979E-03  1.1169E-02
  7.2611E+03  3.9437E-01  1.3073E-02  9.8496E-03  1.1106E-02
  9.2268E+03  3.9924E-01  1.2997E-02  9.8008E-03  1.1045E-02
  1.1725E+04  4.0398E-01  1.2921E-02  9.7552E-03  1.0985E-02
  1.4899E+04  4.0858E-01  1.2844E-02  9.7117E-03  1.0926E-02
  1.8932E+04  4.1305E-01  1.2770E-02  9.6664E-03  1.0868E-02
  2.4058E+04  4.1739E-01  1.2699E-02  9.6180E-03  1.0810E-02
  3.0571E+04  4.2160E-01  1.2629E-02  9.5690E-03  1.0753E-02
  3.8847E+04  4.2570E-01  1.2562E-02  9.5211E-03  1.0698E-02
  4.9364E+04  4.2968E-01  1.2498E-02  9.4738E-03  1.0644E-02
  6.2728E+04  4.3355E-01  1.2435E-02  9.4272E-03  1.0592E-02
  7.9710E+04  4.3731E-01  1.2376E-02  9.3815E-03  1.0542E-02
