 # q =   1.0000E+01
 #         x        xstr      error+      error-       error
  1.0000E-07  4.3421E+01  7.2342E+01  3.1851E+01  5.1249E+01
  1.1767E-07  3.9818E+01  6.3380E+01  2.8446E+01  4.5174E+01
  1.3846E-07  3.6513E+01  5.5472E+01  2.5376E+01  3.9780E+01
  1.6293E-07  3.3483E+01  4.8498E+01  2.2610E+01  3.4994E+01
  1.9171E-07  3.0705E+01  4.2351E+01  2.0119E+01  3.0748E+01
  2.2559E-07  2.8157E+01  3.6936E+01  1.7878E+01  2.6985E+01
  2.6545E-07  2.5820E+01  3.2169E+01  1.5862E+01  2.3650E+01
  3.1235E-07  2.3678E+01  2.7976E+01  1.4050E+01  2.0696E+01
  3.6754E-07  2.1713E+01  2.4290E+01  1.2422E+01  1.8083E+01
  4.3248E-07  1.9911E+01  2.1052E+01  1.0962E+01  1.5772E+01
  5.0890E-07  1.8259E+01  1.8211E+01  9.6518E+00  1.3729E+01
  5.9882E-07  1.6744E+01  1.5719E+01  8.4783E+00  1.1926E+01
  7.0462E-07  1.5354E+01  1.3536E+01  7.4278E+00  1.0335E+01
  8.2912E-07  1.4080E+01  1.1626E+01  6.4884E+00  8.9324E+00
  9.7562E-07  1.2912E+01  9.9569E+00  5.6491E+00  7.6976E+00
  1.1480E-06  1.1875E+01  8.6029E+00  4.9371E+00  6.6803E+00
  1.3509E-06  1.0905E+01  7.3720E+00  4.2838E+00  5.7528E+00
  1.5895E-06  9.9950E+00  6.2380E+00  3.6797E+00  4.8974E+00
  1.8704E-06  9.1438E+00  5.2009E+00  3.1249E+00  4.1144E+00
  2.2009E-06  8.3472E+00  4.2576E+00  2.6153E+00  3.3977E+00
  2.5898E-06  7.5954E+00  3.3949E+00  2.1412E+00  2.7332E+00
  3.0474E-06  6.9060E+00  2.6361E+00  1.7198E+00  2.1471E+00
  3.5858E-06  6.2995E+00  2.0204E+00  1.3710E+00  1.6687E+00
  4.2194E-06  5.7976E+00  1.5868E+00  1.1156E+00  1.3277E+00
  4.9649E-06  5.4102E+00  1.3475E+00  9.6290E-01  1.1340E+00
  5.8422E-06  5.0711E+00  1.1781E+00  8.4877E-01  9.9417E-01
  6.8744E-06  4.7320E+00  9.9139E-01  7.2672E-01  8.4168E-01
  8.0891E-06  4.4131E+00  8.2437E-01  6.1642E-01  7.0469E-01
  9.5184E-06  4.1138E+00  6.7623E-01  5.1724E-01  5.8246E-01
  1.1200E-05  3.8395E+00  5.5400E-01  4.3321E-01  4.8049E-01
  1.3179E-05  3.5924E+00  4.5964E-01  3.6605E-01  4.0063E-01
  1.5508E-05  3.3672E+00  3.8545E-01  3.1150E-01  3.3694E-01
  1.8248E-05  3.1580E+00  3.2414E-01  2.6507E-01  2.8360E-01
  2.1472E-05  2.9602E+00  2.7082E-01  2.2334E-01  2.3639E-01
  2.5266E-05  2.7787E+00  2.2966E-01  1.8976E-01  1.9929E-01
  2.9731E-05  2.6122E+00  1.9829E-01  1.6334E-01  1.7073E-01
  3.4984E-05  2.4578E+00  1.7321E-01  1.4179E-01  1.4781E-01
  4.1165E-05  2.3125E+00  1.5148E-01  1.2306E-01  1.2821E-01
  4.8439E-05  2.1779E+00  1.3357E-01  1.0805E-01  1.1265E-01
  5.6998E-05  2.0527E+00  1.1877E-01  9.5990E-02  1.0020E-01
  6.7069E-05  1.9334E+00  1.0551E-01  8.5498E-02  8.9208E-02
  7.8919E-05  1.8214E+00  9.4265E-02  7.8659E-02  8.0062E-02
  9.2864E-05  1.7177E+00  8.5225E-02  7.2777E-02  7.2798E-02
  1.0927E-04  1.6199E+00  7.7518E-02  6.7447E-02  6.6605E-02
  1.2858E-04  1.5276E+00  7.0970E-02  6.2557E-02  6.1298E-02
  1.5130E-04  1.4404E+00  6.5410E-02  5.8045E-02  5.6732E-02
  1.7803E-04  1.3578E+00  6.0606E-02  5.3876E-02  5.2738E-02
  2.0949E-04  1.2794E+00  5.6365E-02  5.0039E-02  4.9186E-02
  2.4650E-04  1.2057E+00  5.2741E-02  4.6530E-02  4.6103E-02
  2.9006E-04  1.1365E+00  4.9639E-02  4.3305E-02  4.3409E-02
  3.4131E-04  1.0712E+00  4.6942E-02  4.0329E-02  4.0999E-02
  4.0162E-04  1.0091E+00  4.4808E-02  3.7568E-02  3.8789E-02
  4.7258E-04  9.5034E-01  4.2794E-02  3.5023E-02  3.6765E-02
  5.5608E-04  8.9495E-01  4.0887E-02  3.2694E-02  3.4910E-02
  6.5434E-04  8.4235E-01  3.9056E-02  3.0560E-02  3.3179E-02
  7.6995E-04  7.9259E-01  3.7295E-02  2.8614E-02  3.1560E-02
  9.0600E-04  7.4538E-01  3.5588E-02  2.6831E-02  3.0026E-02
  1.0661E-03  7.0057E-01  3.3926E-02  2.5206E-02  2.8564E-02
  1.2544E-03  6.5820E-01  3.2305E-02  2.3731E-02  2.7167E-02
  1.4761E-03  6.1810E-01  3.0721E-02  2.2439E-02  2.5823E-02
  1.7369E-03  5.8002E-01  2.9171E-02  2.1299E-02  2.4522E-02
  2.0438E-03  5.4370E-01  2.7651E-02  2.0195E-02  2.3256E-02
