 # x =   1.0000E-02
 #        q2       xubar      error+      error-       error
  5.0000E-01  1.4659E-01  5.4664E-03  5.8863E-03  5.6019E-03
  6.3536E-01  1.7640E-01  6.4313E-03  6.9611E-03  6.6072E-03
  8.0737E-01  2.0128E-01  7.0172E-03  7.6739E-03  7.2450E-03
  1.0259E+00  2.1259E-01  6.8640E-03  7.6398E-03  7.1466E-03
  1.3037E+00  2.1739E-01  6.4115E-03  7.2738E-03  6.7363E-03
  1.6566E+00  2.2429E-01  6.0598E-03  6.9872E-03  6.4140E-03
  2.1051E+00  2.3269E-01  5.7665E-03  6.7445E-03  6.1468E-03
  2.6750E+00  2.4195E-01  5.5238E-03  6.5539E-03  5.9306E-03
  3.3992E+00  2.5182E-01  5.3339E-03  6.3905E-03  5.7529E-03
  4.3194E+00  2.6204E-01  5.1428E-03  6.2911E-03  5.6073E-03
  5.4888E+00  2.7244E-01  5.0100E-03  6.1736E-03  5.4819E-03
  6.9748E+00  2.8288E-01  4.9013E-03  6.0736E-03  5.3779E-03
  8.8630E+00  2.9328E-01  4.8001E-03  5.9881E-03  5.2850E-03
  1.1262E+01  3.0357E-01  4.7156E-03  5.9112E-03  5.2047E-03
  1.4311E+01  3.1369E-01  4.6366E-03  5.8553E-03  5.1396E-03
  1.8186E+01  3.2362E-01  4.5713E-03  5.7917E-03  5.0776E-03
  2.3109E+01  3.3335E-01  4.5119E-03  5.7363E-03  5.0191E-03
  2.9365E+01  3.4283E-01  4.4345E-03  5.7338E-03  4.9762E-03
  3.7315E+01  3.5205E-01  4.4045E-03  5.6790E-03  4.9322E-03
  4.7417E+01  3.6101E-01  4.3617E-03  5.6392E-03  4.8889E-03
  6.0254E+01  3.6971E-01  4.3177E-03  5.6046E-03  4.8476E-03
  7.6566E+01  3.7815E-01  4.3017E-03  5.5633E-03  4.8194E-03
  9.7294E+01  3.8634E-01  4.2962E-03  5.5250E-03  4.7982E-03
  1.2363E+02  3.9428E-01  4.2620E-03  5.5137E-03  4.7722E-03
  1.5710E+02  4.0198E-01  4.2228E-03  5.5092E-03  4.7466E-03
  1.9964E+02  4.0944E-01  4.2071E-03  5.4917E-03  4.7276E-03
  2.5368E+02  4.1666E-01  4.1962E-03  5.4729E-03  4.7107E-03
  3.2236E+02  4.2366E-01  4.1832E-03  5.4573E-03  4.6940E-03
  4.0963E+02  4.3043E-01  4.1662E-03  5.4453E-03  4.6779E-03
  5.2053E+02  4.3700E-01  4.1419E-03  5.4420E-03  4.6619E-03
  6.6145E+02  4.4335E-01  4.1164E-03  5.4448E-03  4.6475E-03
  8.4051E+02  4.4951E-01  4.0907E-03  5.4534E-03  4.6350E-03
  1.0681E+03  4.5548E-01  4.0708E-03  5.4583E-03  4.6242E-03
  1.3572E+03  4.6125E-01  4.0610E-03  5.4540E-03  4.6152E-03
  1.7246E+03  4.6685E-01  4.0552E-03  5.4468E-03  4.6072E-03
  2.1915E+03  4.7227E-01  4.0513E-03  5.4384E-03  4.5995E-03
  2.7848E+03  4.7752E-01  4.0482E-03  5.4304E-03  4.5925E-03
  3.5388E+03  4.8262E-01  4.0323E-03  5.4393E-03  4.5871E-03
  4.4968E+03  4.8756E-01  4.0009E-03  5.4679E-03  4.5832E-03
  5.7141E+03  4.9236E-01  3.9725E-03  5.4927E-03  4.5793E-03
  7.2611E+03  4.9700E-01  3.9543E-03  5.5027E-03  4.5737E-03
  9.2268E+03  5.0151E-01  3.9419E-03  5.5069E-03  4.5687E-03
  1.1725E+04  5.0588E-01  3.9367E-03  5.5091E-03  4.5672E-03
  1.4899E+04  5.1011E-01  3.9387E-03  5.5080E-03  4.5685E-03
  1.8932E+04  5.1423E-01  3.9332E-03  5.5132E-03  4.5686E-03
  2.4058E+04  5.1822E-01  3.9142E-03  5.5296E-03  4.5664E-03
  3.0571E+04  5.2209E-01  3.8937E-03  5.5460E-03  4.5635E-03
  3.8847E+04  5.2586E-01  3.8825E-03  5.5505E-03  4.5603E-03
  4.9364E+04  5.2951E-01  3.8754E-03  5.5498E-03  4.5569E-03
  6.2728E+04  5.3306E-01  3.8650E-03  5.5588E-03  4.5561E-03
  7.9710E+04  5.3650E-01  3.8508E-03  5.5785E-03  4.5579E-03
  1.0129E+05  5.3985E-01  3.8403E-03  5.5937E-03  4.5598E-03
  1.2871E+05  5.4310E-01  3.8404E-03  5.5934E-03  4.5612E-03
  1.6355E+05  5.4625E-01  3.8417E-03  5.5908E-03  4.5624E-03
  2.0783E+05  5.4932E-01  3.8282E-03  5.6048E-03  4.5634E-03
  2.6410E+05  5.5231E-01  3.8024E-03  5.6321E-03  4.5641E-03
  3.3559E+05  5.5522E-01  3.7851E-03  5.6505E-03  4.5650E-03
  4.2645E+05  5.5804E-01  3.7837E-03  5.6517E-03  4.5660E-03
  5.4190E+05  5.6078E-01  3.7855E-03  5.6507E-03  4.5673E-03
  6.8860E+05  5.6345E-01  3.7796E-03  5.6594E-03  4.5692E-03
  8.7502E+05  5.6604E-01  3.7720E-03  5.6708E-03  4.5714E-03
  1.1119E+06  5.6857E-01  3.7733E-03  5.6732E-03  4.5741E-03
  1.4129E+06  5.7102E-01  3.7857E-03  5.6644E-03  4.5774E-03
  1.7954E+06  5.7341E-01  3.7938E-03  5.6609E-03  4.5809E-03
  2.2815E+06  5.7573E-01  3.7871E-03  5.6738E-03  4.5846E-03
  2.8992E+06  5.7799E-01  3.7743E-03  5.6933E-03  4.5882E-03
  3.6840E+06  5.8020E-01  3.7647E-03  5.7087E-03  4.5909E-03
  4.6814E+06  5.8234E-01  3.7565E-03  5.7222E-03  4.5929E-03
  5.9487E+06  5.8443E-01  3.7488E-03  5.7345E-03  4.5951E-03
  7.5592E+06  5.8646E-01  3.7409E-03  5.7458E-03  4.5977E-03
  9.6056E+06  5.8844E-01  3.7345E-03  5.7556E-03  4.6005E-03
  1.2206E+07  5.9037E-01  3.7307E-03  5.7645E-03  4.6040E-03
  1.5511E+07  5.9225E-01  3.7294E-03  5.7714E-03  4.6076E-03
  1.9710E+07  5.9408E-01  3.7344E-03  5.7708E-03  4.6100E-03
  2.5046E+07  5.9585E-01  3.7484E-03  5.7589E-03  4.6107E-03
  3.1826E+07  5.9758E-01  3.7577E-03  5.7529E-03  4.6121E-03
  4.0442E+07  5.9927E-01  3.7502E-03  5.7679E-03  4.6164E-03
  5.1390E+07  6.0092E-01  3.7385E-03  5.7880E-03  4.6212E-03
  6.5303E+07  6.0252E-01  3.7408E-03  5.7894E-03  4.6237E-03
  8.2982E+07  6.0408E-01  3.7533E-03  5.7773E-03  4.6243E-03
  1.0545E+08  6.0560E-01  3.7586E-03  5.7741E-03  4.6257E-03
  1.3399E+08  6.0709E-01  3.7503E-03  5.7867E-03  4.6282E-03
  1.7027E+08  6.0853E-01  3.7404E-03  5.8022E-03  4.6312E-03
  2.1637E+08  6.0994E-01  3.7392E-03  5.8102E-03  4.6348E-03
  2.7494E+08  6.1132E-01  3.7420E-03  5.8153E-03  4.6388E-03
  3.4937E+08  6.1266E-01  3.7386E-03  5.8275E-03  4.6433E-03
  4.4396E+08  6.1396E-01  3.7260E-03  5.8503E-03  4.6486E-03
  5.6414E+08  6.1523E-01  3.7194E-03  5.8653E-03  4.6530E-03
  7.1687E+08  6.1647E-01  3.7256E-03  5.8636E-03  4.6556E-03
  9.1094E+08  6.1767E-01  3.7409E-03  5.8499E-03  4.6568E-03
  1.1576E+09  6.1887E-01  3.7572E-03  5.8355E-03  4.6580E-03
  1.4709E+09  6.2009E-01  3.7703E-03  5.8262E-03  4.6602E-03
  1.8692E+09  6.2132E-01  3.7837E-03  5.8170E-03  4.6625E-03
  2.3752E+09  6.2254E-01  3.7974E-03  5.8081E-03  4.6651E-03
  3.0182E+09  6.2377E-01  3.8115E-03  5.7994E-03  4.6679E-03
  3.8353E+09  6.2500E-01  3.8258E-03  5.7909E-03  4.6709E-03
  4.8736E+09  6.2623E-01  3.8405E-03  5.7827E-03  4.6741E-03
  6.1930E+09  6.2747E-01  3.8555E-03  5.7747E-03  4.6776E-03
  7.8695E+09  6.2870E-01  3.8708E-03  5.7670E-03  4.6812E-03
  1.0000E+10  6.2994E-01  3.8864E-03  5.7594E-03  4.6852E-03
