 # q =   1.0000E+01
 #         x       xubar      error+      error-       error
  1.0000E-07  4.3525E+01  7.0415E+01  3.0994E+01  4.9879E+01
  1.1767E-07  4.0040E+01  6.1841E+01  2.7746E+01  4.4071E+01
  1.3846E-07  3.6835E+01  5.4252E+01  2.4809E+01  3.8900E+01
  1.6293E-07  3.3886E+01  4.7540E+01  2.2155E+01  3.4297E+01
  1.9171E-07  3.1173E+01  4.1606E+01  1.9757E+01  3.0202E+01
  2.2559E-07  2.8677E+01  3.6364E+01  1.7593E+01  2.6561E+01
  2.6545E-07  2.6381E+01  3.1736E+01  1.5641E+01  2.3325E+01
  3.1235E-07  2.4269E+01  2.7653E+01  1.3881E+01  2.0452E+01
  3.6754E-07  2.2326E+01  2.4054E+01  1.2295E+01  1.7902E+01
  4.3248E-07  2.0538E+01  2.0883E+01  1.0868E+01  1.5640E+01
  5.0890E-07  1.8893E+01  1.8092E+01  9.5841E+00  1.3636E+01
  5.9882E-07  1.7380E+01  1.5639E+01  8.4304E+00  1.1861E+01
  7.0462E-07  1.5989E+01  1.3483E+01  7.3946E+00  1.0290E+01
  8.2912E-07  1.4708E+01  1.1592E+01  6.4655E+00  8.9021E+00
  9.7562E-07  1.3530E+01  9.9343E+00  5.6330E+00  7.6766E+00
  1.1480E-06  1.2477E+01  8.5817E+00  4.9221E+00  6.6607E+00
  1.3509E-06  1.1492E+01  7.3512E+00  4.2690E+00  5.7335E+00
  1.5895E-06  1.0566E+01  6.2176E+00  3.6651E+00  4.8786E+00
  1.8704E-06  9.6999E+00  5.1808E+00  3.1104E+00  4.0959E+00
  2.2009E-06  8.8885E+00  4.2394E+00  2.6007E+00  3.3795E+00
  2.5898E-06  8.1221E+00  3.3772E+00  2.1263E+00  2.7152E+00
  3.0474E-06  7.4185E+00  2.6188E+00  1.7044E+00  2.1293E+00
  3.5858E-06  6.7981E+00  2.0035E+00  1.3550E+00  1.6510E+00
  4.2194E-06  6.2828E+00  1.5701E+00  1.0992E+00  1.3100E+00
  4.9649E-06  5.8825E+00  1.3309E+00  9.4638E-01  1.1165E+00
  5.8422E-06  5.5309E+00  1.1617E+00  8.3227E-01  9.7679E-01
  6.8744E-06  5.1794E+00  9.7510E-01  7.0996E-01  8.2433E-01
  8.0891E-06  4.8485E+00  8.0823E-01  5.9922E-01  6.8731E-01
  9.5184E-06  4.5373E+00  6.6026E-01  4.9935E-01  5.6493E-01
  1.1200E-05  4.2514E+00  5.3803E-01  4.1474E-01  4.6276E-01
  1.3179E-05  3.9932E+00  4.4353E-01  3.4724E-01  3.8268E-01
  1.5508E-05  3.7571E+00  3.6910E-01  2.9247E-01  3.1876E-01
  1.8248E-05  3.5372E+00  3.0745E-01  2.4582E-01  2.6511E-01
  2.1472E-05  3.3290E+00  2.5367E-01  2.0380E-01  2.1747E-01
  2.5266E-05  3.1373E+00  2.1202E-01  1.6996E-01  1.7994E-01
  2.9731E-05  2.9609E+00  1.8015E-01  1.4334E-01  1.5096E-01
  3.4984E-05  2.7968E+00  1.5456E-01  1.2162E-01  1.2765E-01
  4.1165E-05  2.6420E+00  1.3216E-01  1.0265E-01  1.0761E-01
  4.8439E-05  2.4981E+00  1.1363E-01  8.7437E-02  9.1694E-02
  5.6998E-05  2.3638E+00  9.8177E-02  7.5235E-02  7.8913E-02
  6.7069E-05  2.2358E+00  8.4028E-02  6.6458E-02  6.7572E-02
  7.8919E-05  2.1151E+00  7.1812E-02  6.0431E-02  5.8132E-02
  9.2864E-05  2.0030E+00  6.2042E-02  5.5200E-02  5.0723E-02
  1.0927E-04  1.8969E+00  5.3565E-02  5.0557E-02  4.4432E-02
  1.2858E-04  1.7965E+00  4.6155E-02  4.6429E-02  3.9064E-02
  1.5130E-04  1.7015E+00  3.9745E-02  4.2659E-02  3.4493E-02
  1.7803E-04  1.6113E+00  3.4178E-02  3.9167E-02  3.0559E-02
  2.0949E-04  1.5254E+00  2.9325E-02  3.5921E-02  2.7149E-02
  2.4650E-04  1.4443E+00  2.5331E-02  3.2872E-02  2.4287E-02
  2.9006E-04  1.3679E+00  2.2081E-02  3.0001E-02  2.1872E-02
  3.4131E-04  1.2955E+00  1.9382E-02  2.7310E-02  1.9793E-02
  4.0162E-04  1.2265E+00  1.7077E-02  2.4811E-02  1.7975E-02
  4.7258E-04  1.1610E+00  1.5203E-02  2.2461E-02  1.6402E-02
  5.5608E-04  1.0990E+00  1.4055E-02  2.0298E-02  1.5046E-02
  6.5434E-04  1.0399E+00  1.3097E-02  1.8468E-02  1.3867E-02
  7.6995E-04  9.8391E-01  1.2135E-02  1.6921E-02  1.2839E-02
  9.0600E-04  9.3055E-01  1.1336E-02  1.5429E-02  1.1920E-02
  1.0661E-03  8.7973E-01  1.0607E-02  1.4072E-02  1.1101E-02
  1.2544E-03  8.3148E-01  9.8979E-03  1.2898E-02  1.0373E-02
  1.4761E-03  7.8567E-01  9.2170E-03  1.1883E-02  9.7156E-03
  1.7369E-03  7.4201E-01  8.5694E-03  1.0999E-02  9.1141E-03
  2.0438E-03  7.0025E-01  7.9615E-03  1.0213E-02  8.5586E-03
  2.4049E-03  6.6058E-01  7.3915E-03  9.5200E-03  8.0421E-03
  2.8299E-03  6.2302E-01  6.8582E-03  8.9045E-03  7.5576E-03
  3.3299E-03  5.8733E-01  6.3657E-03  8.3670E-03  7.1015E-03
  3.9183E-03  5.5328E-01  5.9175E-03  7.8925E-03  6.6734E-03
  4.6106E-03  5.2085E-01  5.5166E-03  7.4307E-03  6.2728E-03
  5.4253E-03  4.9011E-01  5.1649E-03  6.9838E-03  5.9001E-03
  6.3839E-03  4.6082E-01  4.8609E-03  6.5587E-03  5.5580E-03
  7.5118E-03  4.3299E-01  4.6065E-03  6.1579E-03  5.2482E-03
  8.8391E-03  4.0650E-01  4.4100E-03  5.7831E-03  4.9764E-03
  1.0401E-02  3.8128E-01  4.2584E-03  5.4506E-03  4.7415E-03
  1.2239E-02  3.5728E-01  4.1167E-03  5.1837E-03  4.5378E-03
  1.4401E-02  3.3433E-01  4.0041E-03  4.9416E-03  4.3673E-03
  1.6946E-02  3.1242E-01  3.9406E-03  4.7191E-03  4.2323E-03
  1.9940E-02  2.9134E-01  3.8912E-03  4.5509E-03  4.1259E-03
  2.3463E-02  2.7103E-01  3.8315E-03  4.4350E-03  4.0390E-03
  2.7609E-02  2.5141E-01  3.7760E-03  4.3556E-03  3.9709E-03
  3.2487E-02  2.3218E-01  3.7397E-03  4.2901E-03  3.9166E-03
  3.8227E-02  2.1336E-01  3.7227E-03  4.2425E-03  3.8763E-03
  4.4982E-02  1.9470E-01  3.6899E-03  4.2273E-03  3.8382E-03
  5.2930E-02  1.7621E-01  3.6604E-03  4.2390E-03  3.8087E-03
  6.2282E-02  1.5782E-01  3.6435E-03  4.2532E-03  3.7804E-03
  7.3287E-02  1.3949E-01  3.6389E-03  4.2832E-03  3.7633E-03
  8.6236E-02  1.2145E-01  3.6261E-03  4.2969E-03  3.7407E-03
  1.0147E-01  1.0386E-01  3.5876E-03  4.2606E-03  3.6940E-03
  1.1940E-01  8.7058E-02  3.4327E-03  4.1249E-03  3.5643E-03
  1.4050E-01  7.1468E-02  3.1143E-03  3.8593E-03  3.3174E-03
  1.6533E-01  5.7364E-02  2.6840E-03  3.3805E-03  2.9187E-03
  1.9454E-01  4.4915E-02  2.3201E-03  2.7071E-03  2.4328E-03
  2.2891E-01  3.4083E-02  2.0500E-03  2.2658E-03  2.0724E-03
  2.6936E-01  2.4686E-02  1.9166E-03  2.2500E-03  1.9616E-03
  3.1695E-01  1.6530E-02  1.8102E-03  2.1549E-03  1.8514E-03
  3.7296E-01  9.7492E-03  1.4950E-03  1.6639E-03  1.4781E-03
  4.3885E-01  4.7420E-03  9.4408E-04  9.6149E-04  8.9760E-04
  5.1640E-01  1.7564E-03  4.1651E-04  3.9063E-04  3.8780E-04
  6.0764E-01  4.5886E-04  1.4357E-04  1.1918E-04  1.3004E-04
  7.1501E-01  7.8749E-05  4.3416E-05  3.2777E-05  3.7990E-05
  8.4134E-01  5.1122E-06  5.2084E-06  3.3803E-06  4.2763E-06
  9.9000E-01  5.4507E-08  6.9901E-08  1.9898E-08  4.2317E-08
