 # x =   1.0000E-02
 #        q2         xup      error+      error-       error
  5.0000E-01  2.4568E-01  6.0239E-03  6.4733E-03  6.0917E-03
  6.3536E-01  2.9623E-01  7.0806E-03  7.6518E-03  7.1792E-03
  8.0737E-01  3.3933E-01  7.7020E-03  8.4270E-03  7.8547E-03
  1.0259E+00  3.6078E-01  7.4603E-03  8.3730E-03  7.7013E-03
  1.3037E+00  3.7064E-01  6.8624E-03  7.9426E-03  7.1921E-03
  1.6566E+00  3.8218E-01  6.3957E-03  7.5885E-03  6.7873E-03
  2.1051E+00  3.9483E-01  6.0227E-03  7.2805E-03  6.4532E-03
  2.6750E+00  4.0806E-01  5.7143E-03  7.0311E-03  6.1791E-03
  3.3992E+00  4.2165E-01  5.4635E-03  6.8275E-03  5.9574E-03
  4.3194E+00  4.3537E-01  5.2289E-03  6.6759E-03  5.7709E-03
  5.4888E+00  4.4906E-01  5.0515E-03  6.5212E-03  5.6111E-03
  6.9748E+00  4.6261E-01  4.9117E-03  6.3856E-03  5.4803E-03
  8.8630E+00  4.7596E-01  4.7960E-03  6.2682E-03  5.3688E-03
  1.1262E+01  4.8906E-01  4.6928E-03  6.1678E-03  5.2722E-03
  1.4311E+01  5.0185E-01  4.6172E-03  6.0752E-03  5.1926E-03
  1.8186E+01  5.1433E-01  4.5417E-03  5.9991E-03  5.1207E-03
  2.3109E+01  5.2650E-01  4.4672E-03  5.9389E-03  5.0565E-03
  2.9365E+01  5.3831E-01  4.4122E-03  5.8898E-03  5.0078E-03
  3.7315E+01  5.4977E-01  4.3644E-03  5.8245E-03  4.9558E-03
  4.7417E+01  5.6089E-01  4.3256E-03  5.7645E-03  4.9110E-03
  6.0254E+01  5.7168E-01  4.2937E-03  5.7164E-03  4.8714E-03
  7.6566E+01  5.8213E-01  4.2731E-03  5.6768E-03  4.8388E-03
  9.7294E+01  5.9226E-01  4.2575E-03  5.6417E-03  4.8110E-03
  1.2363E+02  6.0208E-01  4.2322E-03  5.6113E-03  4.7817E-03
  1.5710E+02  6.1159E-01  4.2023E-03  5.5879E-03  4.7537E-03
  1.9964E+02  6.2080E-01  4.1705E-03  5.5793E-03  4.7317E-03
  2.5368E+02  6.2973E-01  4.1426E-03  5.5722E-03  4.7125E-03
  3.2236E+02  6.3837E-01  4.1248E-03  5.5569E-03  4.6946E-03
  4.0963E+02  6.4675E-01  4.1083E-03  5.5405E-03  4.6773E-03
  5.2053E+02  6.5486E-01  4.0910E-03  5.5225E-03  4.6592E-03
  6.6145E+02  6.6273E-01  4.0691E-03  5.5116E-03  4.6422E-03
  8.4051E+02  6.7035E-01  4.0353E-03  5.5180E-03  4.6274E-03
  1.0681E+03  6.7775E-01  4.0087E-03  5.5196E-03  4.6140E-03
  1.3572E+03  6.8491E-01  3.9993E-03  5.5053E-03  4.6019E-03
  1.7246E+03  6.9185E-01  3.9935E-03  5.4887E-03  4.5907E-03
  2.1915E+03  6.9859E-01  3.9821E-03  5.4786E-03  4.5793E-03
  2.7848E+03  7.0513E-01  3.9686E-03  5.4718E-03  4.5682E-03
  3.5388E+03  7.1147E-01  3.9521E-03  5.4722E-03  4.5594E-03
  4.4968E+03  7.1763E-01  3.9313E-03  5.4817E-03  4.5532E-03
  5.7141E+03  7.2361E-01  3.9126E-03  5.4883E-03  4.5465E-03
  7.2611E+03  7.2941E-01  3.8990E-03  5.4849E-03  4.5371E-03
  9.2268E+03  7.3504E-01  3.8879E-03  5.4791E-03  4.5278E-03
  1.1725E+04  7.4052E-01  3.8788E-03  5.4783E-03  4.5226E-03
  1.4899E+04  7.4584E-01  3.8720E-03  5.4803E-03  4.5203E-03
  1.8932E+04  7.5101E-01  3.8600E-03  5.4849E-03  4.5165E-03
  2.4058E+04  7.5603E-01  3.8378E-03  5.4947E-03  4.5096E-03
  3.0571E+04  7.6091E-01  3.8171E-03  5.5020E-03  4.5021E-03
  3.8847E+04  7.6566E-01  3.8113E-03  5.4958E-03  4.4960E-03
  4.9364E+04  7.7028E-01  3.8126E-03  5.4834E-03  4.4904E-03
  6.2728E+04  7.7477E-01  3.8036E-03  5.4836E-03  4.4856E-03
  7.9710E+04  7.7914E-01  3.7835E-03  5.4972E-03  4.4814E-03
  1.0129E+05  7.8339E-01  3.7670E-03  5.5073E-03  4.4778E-03
  1.2871E+05  7.8753E-01  3.7631E-03  5.5034E-03  4.4747E-03
  1.6355E+05  7.9156E-01  3.7617E-03  5.4971E-03  4.4720E-03
  2.0783E+05  7.9548E-01  3.7510E-03  5.5023E-03  4.4697E-03
  2.6410E+05  7.9931E-01  3.7333E-03  5.5163E-03  4.4677E-03
  3.3559E+05  8.0303E-01  3.7163E-03  5.5291E-03  4.4656E-03
  4.2645E+05  8.0666E-01  3.7005E-03  5.5395E-03  4.4633E-03
  5.4190E+05  8.1019E-01  3.6875E-03  5.5469E-03  4.4609E-03
  6.8860E+05  8.1364E-01  3.6806E-03  5.5485E-03  4.4583E-03
  8.7502E+05  8.1699E-01  3.6780E-03  5.5460E-03  4.4557E-03
  1.1119E+06  8.2026E-01  3.6781E-03  5.5417E-03  4.4540E-03
  1.4129E+06  8.2344E-01  3.6823E-03  5.5344E-03  4.4530E-03
  1.7954E+06  8.2655E-01  3.6845E-03  5.5300E-03  4.4525E-03
  2.2815E+06  8.2958E-01  3.6802E-03  5.5327E-03  4.4521E-03
  2.8992E+06  8.3253E-01  3.6729E-03  5.5387E-03  4.4517E-03
  3.6840E+06  8.3542E-01  3.6671E-03  5.5443E-03  4.4516E-03
  4.6814E+06  8.3823E-01  3.6619E-03  5.5501E-03  4.4518E-03
  5.9487E+06  8.4098E-01  3.6519E-03  5.5588E-03  4.4510E-03
  7.5592E+06  8.4366E-01  3.6328E-03  5.5729E-03  4.4485E-03
  9.6056E+06  8.4628E-01  3.6156E-03  5.5851E-03  4.4462E-03
  1.2206E+07  8.4883E-01  3.6111E-03  5.5883E-03  4.4459E-03
  1.5511E+07  8.5132E-01  3.6136E-03  5.5862E-03  4.4465E-03
  1.9710E+07  8.5375E-01  3.6145E-03  5.5844E-03  4.4461E-03
  2.5046E+07  8.5613E-01  3.6147E-03  5.5816E-03  4.4443E-03
  3.1826E+07  8.5845E-01  3.6121E-03  5.5825E-03  4.4431E-03
  4.0442E+07  8.6071E-01  3.6017E-03  5.5940E-03  4.4437E-03
  5.1390E+07  8.6293E-01  3.5906E-03  5.6070E-03  4.4449E-03
  6.5303E+07  8.6509E-01  3.5932E-03  5.6037E-03  4.4451E-03
  8.2982E+07  8.6720E-01  3.6068E-03  5.5875E-03  4.4445E-03
  1.0545E+08  8.6926E-01  3.6111E-03  5.5822E-03  4.4444E-03
