 # q =   1.0000E+01
 #         x         xup      error+      error-       error
  1.0000E-07  4.3526E+01  7.0415E+01  3.0994E+01  4.9879E+01
  1.1767E-07  4.0042E+01  6.1841E+01  2.7746E+01  4.4071E+01
  1.3846E-07  3.6837E+01  5.4252E+01  2.4809E+01  3.8900E+01
  1.6293E-07  3.3888E+01  4.7540E+01  2.2155E+01  3.4297E+01
  1.9171E-07  3.1175E+01  4.1606E+01  1.9757E+01  3.0202E+01
  2.2559E-07  2.8679E+01  3.6364E+01  1.7593E+01  2.6561E+01
  2.6545E-07  2.6383E+01  3.1736E+01  1.5641E+01  2.3325E+01
  3.1235E-07  2.4271E+01  2.7653E+01  1.3881E+01  2.0452E+01
  3.6754E-07  2.2328E+01  2.4054E+01  1.2295E+01  1.7902E+01
  4.3248E-07  2.0541E+01  2.0883E+01  1.0868E+01  1.5640E+01
  5.0890E-07  1.8897E+01  1.8092E+01  9.5841E+00  1.3636E+01
  5.9882E-07  1.7384E+01  1.5639E+01  8.4304E+00  1.1861E+01
  7.0462E-07  1.5992E+01  1.3483E+01  7.3946E+00  1.0290E+01
  8.2912E-07  1.4712E+01  1.1592E+01  6.4655E+00  8.9021E+00
  9.7562E-07  1.3534E+01  9.9343E+00  5.6330E+00  7.6766E+00
  1.1480E-06  1.2482E+01  8.5818E+00  4.9220E+00  6.6607E+00
  1.3509E-06  1.1497E+01  7.3513E+00  4.2690E+00  5.7335E+00
  1.5895E-06  1.0572E+01  6.2176E+00  3.6651E+00  4.8786E+00
  1.8704E-06  9.7055E+00  5.1808E+00  3.1103E+00  4.0959E+00
  2.2009E-06  8.8946E+00  4.2394E+00  2.6006E+00  3.3795E+00
  2.5898E-06  8.1287E+00  3.3773E+00  2.1262E+00  2.7152E+00
  3.0474E-06  7.4256E+00  2.6189E+00  1.7044E+00  2.1293E+00
  3.5858E-06  6.8058E+00  2.0035E+00  1.3550E+00  1.6510E+00
  4.2194E-06  6.2911E+00  1.5701E+00  1.0992E+00  1.3100E+00
  4.9649E-06  5.8914E+00  1.3310E+00  9.4631E-01  1.1165E+00
  5.8422E-06  5.5404E+00  1.1617E+00  8.3220E-01  9.7676E-01
