 #Evolved convols at Q=8.0GeV, x1=1.00E-02  , x2=1.00E-02  , Snp=Snpbc2 and Sa=SaO2
 #  qt             Cff            Chh            C w3afh         Cw4hh
    0.00000E+00      6.20413E+03      6.04812E+02      0.00000E+00      0.00000E+00
    2.00000E-01      6.19152E+03      6.02063E+02      2.68366E+00      1.07363E-03
    4.00000E-01      6.15387E+03      5.93891E+02      1.06642E+01      1.70224E-02
    6.00000E-01      6.09173E+03      5.80524E+02      2.37329E+01      8.48802E-02
    8.00000E-01      6.00596E+03      5.62327E+02      4.15516E+01      2.62655E-01
    1.00000E+00      5.89776E+03      5.39787E+02      6.36660E+01      6.24143E-01
    1.20000E+00      5.76862E+03      5.13488E+02      8.95235E+01      1.25241E+00
    1.40000E+00      5.62026E+03      4.84081E+02      1.18495E+02      2.23253E+00
    1.60000E+00      5.45462E+03      4.52268E+02      1.49896E+02      3.64434E+00
    1.80000E+00      5.27422E+03      4.18757E+02      1.83014E+02      5.55566E+00
    2.00000E+00      5.08038E+03      3.84248E+02      2.17131E+02      8.01682E+00
    2.20000E+00      4.87582E+03      3.49401E+02      2.51545E+02      1.10565E+01
    2.40000E+00      4.66279E+03      3.14820E+02      2.85591E+02      1.46797E+01
    2.60000E+00      4.44354E+03      2.81040E+02      3.18658E+02      1.88668E+01
    2.80000E+00      4.22023E+03      2.48513E+02      3.50203E+02      2.35754E+01
    3.00000E+00      3.99491E+03      2.17606E+02      3.79759E+02      2.87422E+01
    3.20000E+00      3.76952E+03      1.88600E+02      4.06946E+02      3.42874E+01
    3.40000E+00      3.54580E+03      1.61691E+02      4.31467E+02      4.01189E+01
    3.60000E+00      3.32535E+03      1.37007E+02      4.53111E+02      4.61366E+01
    3.80000E+00      3.10956E+03      1.14592E+02      4.71746E+02      5.22381E+01
    4.00000E+00      2.89964E+03      9.44438E+01      4.87317E+02      5.83216E+01
