 #Evolved convols ratios at Q=8.0GeV, x1=1.00E-02  , x2=1.00E-02  , Snp=Snpbc2 and Sa=SaO2
 #qt          Chh/Cff     Cw3afh/Cff  Cw4hh/Cff
    0.00000E+00      9.74855E-02      0.00000E+00      0.00000E+00
    2.00000E-01      9.72399E-02      4.33442E-04      1.73404E-07
    4.00000E-01      9.65069E-02      1.73292E-03      2.76612E-06
    6.00000E-01      9.52971E-02      3.89592E-03      1.39337E-05
    8.00000E-01      9.36282E-02      6.91840E-03      4.37324E-05
    1.00000E+00      9.15240E-02      1.07949E-02      1.05827E-04
    1.20000E+00      8.90140E-02      1.55191E-02      2.17107E-04
    1.40000E+00      8.61314E-02      2.10835E-02      3.97230E-04
    1.60000E+00      8.29147E-02      2.74806E-02      6.68120E-04
    1.80000E+00      7.93971E-02      3.46998E-02      1.05336E-03
    2.00000E+00      7.56336E-02      4.27391E-02      1.57799E-03
    2.20000E+00      7.16598E-02      5.15903E-02      2.26763E-03
    2.40000E+00      6.75175E-02      6.12488E-02      3.14826E-03
    2.60000E+00      6.32469E-02      7.17127E-02      4.24590E-03
    2.80000E+00      5.88862E-02      8.29821E-02      5.58628E-03
    3.00000E+00      5.44708E-02      9.50606E-02      7.19469E-03
    3.20000E+00      5.00330E-02      1.07957E-01      9.09597E-03
    3.40000E+00      4.56006E-02      1.21684E-01      1.13145E-02
    3.60000E+00      4.12008E-02      1.36260E-01      1.38742E-02
    3.80000E+00      3.68516E-02      1.51708E-01      1.67992E-02
    4.00000E+00      3.25708E-02      1.68061E-01      2.01134E-02
